YEAR,NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER,TOTAL_CRIME,AVERAGE_HOUSE_PRICE,CRIME_PERCENT_CHANGE,PRICE_PERCENT_CHANGE
2000,JACKSON WARD,3,4,33,61,57,79,226,34,344,841,90058,0,0
2001,JACKSON WARD,0,2,22,64,30,36,161,33,261,609,87868,-27.586206896551722,-2.4317661951187013
2002,JACKSON WARD,0,9,28,62,38,38,200,28,264,667,108740,9.523809523809524,23.753812536987297
2003,JACKSON WARD,1,6,34,56,29,26,171,44,243,610,123348,-8.545727136431784,13.433878977377232
2004,JACKSON WARD,0,0,32,57,36,38,115,38,201,517,149908,-15.245901639344261,21.5325745046535
2005,JACKSON WARD,0,2,32,59,38,59,156,38,272,656,188449,26.88588007736944,25.70976865811031
2006,JACKSON WARD,1,2,25,58,36,33,144,28,274,601,211024,-8.384146341463415,11.979368423286937
2007,JACKSON WARD,0,5,27,62,15,39,147,14,330,639,226593,6.322795341098169,7.3778338008946855
2008,JACKSON WARD,0,0,19,55,27,31,150,21,357,660,223346,3.286384976525822,-1.4329657138570036
2009,JACKSON WARD,1,6,16,52,26,63,184,17,342,707,207603,7.121212121212121,-7.048704700330428
2010,JACKSON WARD,1,2,21,57,15,49,187,16,416,764,199616,8.062234794908061,-3.847246908763361
2011,JACKSON WARD,0,3,25,72,36,75,198,18,481,908,184106,18.848167539267017,-7.769918243026611
2012,JACKSON WARD,1,3,27,56,29,85,190,17,480,888,176503,-2.2026431718061676,-4.129686159060541
2013,JACKSON WARD,2,3,17,57,46,38,161,13,348,685,185714,-22.86036036036036,5.218608182297184
2014,JACKSON WARD,0,0,21,73,41,49,182,16,302,684,194414,-0.145985401459854,4.684622591727064
2015,JACKSON WARD,0,1,11,43,30,40,165,21,315,626,204414,-8.47953216374269,5.14366249344183
2016,JACKSON WARD,1,2,18,59,19,36,140,18,332,625,213416,-0.1597444089456869,4.403807958359017
2017,JACKSON WARD,0,2,16,48,25,25,192,18,321,647,223190,3.52,4.5797878322150165
2018,JACKSON WARD,0,4,6,46,16,24,170,18,345,629,244696,-2.7820710973724885,9.63573636811685
2019,JACKSON WARD,0,1,6,44,24,36,161,18,379,669,253219,6.359300476947535,3.4830973943178476
2020,JACKSON WARD,0,2,5,36,22,17,155,15,267,519,264178,-22.421524663677133,4.327874290633799
