NEIGHBORHOOD_NAME,2000_TOTAL_CRIME,2001_TOTAL_CRIME,2002_TOTAL_CRIME,2003_TOTAL_CRIME,2004_TOTAL_CRIME,2005_TOTAL_CRIME,2006_TOTAL_CRIME,2007_TOTAL_CRIME,2008_TOTAL_CRIME,2009_TOTAL_CRIME,2010_TOTAL_CRIME,2011_TOTAL_CRIME,2012_TOTAL_CRIME,2013_TOTAL_CRIME,2014_TOTAL_CRIME,2015_TOTAL_CRIME,2016_TOTAL_CRIME,2017_TOTAL_CRIME,2018_TOTAL_CRIME,2019_TOTAL_CRIME,2020_TOTAL_CRIME,MEAN_TOTAL_CRIME,2000_AVERAGE_HOUSE_PRICE,2001_AVERAGE_HOUSE_PRICE,2002_AVERAGE_HOUSE_PRICE,2003_AVERAGE_HOUSE_PRICE,2004_AVERAGE_HOUSE_PRICE,2005_AVERAGE_HOUSE_PRICE,2006_AVERAGE_HOUSE_PRICE,2007_AVERAGE_HOUSE_PRICE,2008_AVERAGE_HOUSE_PRICE,2009_AVERAGE_HOUSE_PRICE,2010_AVERAGE_HOUSE_PRICE,2011_AVERAGE_HOUSE_PRICE,2012_AVERAGE_HOUSE_PRICE,2013_AVERAGE_HOUSE_PRICE,2014_AVERAGE_HOUSE_PRICE,2015_AVERAGE_HOUSE_PRICE,2016_AVERAGE_HOUSE_PRICE,2017_AVERAGE_HOUSE_PRICE,2018_AVERAGE_HOUSE_PRICE,2019_AVERAGE_HOUSE_PRICE,2020_AVERAGE_HOUSE_PRICE,MEAN_TOTAL_HOUSE_PRICE
BEAUFONT,81,73,84,99,114,72,129,119,98,73,95,72,87,107,59,80,82,109,82,86,80,89.57142857142857,91484,93484,95124,105911,118208,128152,145227,162598,156474,143748,129220,119188,116402,113647,110738,115794,133430,136345,149896,161228,179741,128859.0
BELLEMEADE,846,770,700,681,659,650,793,760,765,671,632,569,597,658,562,613,620,676,685,644,484,668.3333333333334,60970,55926,56010,58908,64114,75966,86441,93773,97523,86433,73785,62111,60356,61080,65558,59610,58628,65129,79389,93220,110851,72656.23809523809
BELLEVUE,236,160,155,173,124,122,135,100,122,113,106,107,174,186,148,150,138,115,110,139,143,140.76190476190476,142984,150168,168434,188995,204858,231872,258154,265466,259927,248313,242895,231106,237716,251652,257725,266497,282936,300601,320885,335723,356034,247759.09523809524
BELMONT WOODS,28,27,24,12,31,27,53,41,27,32,32,17,16,17,34,26,22,25,21,15,16,25.857142857142858,119901,124785,114005,116552,129396,146381,161716,177880,171388,155691,149921,129310,124702,122213,130302,136354,142739,150620,168113,177865,199649,145213.47619047618
BELT CENTER,715,756,550,569,446,417,452,420,468,455,417,385,410,426,483,438,505,488,570,565,465,495.23809523809524,75425,74534,69809,81294,84963,93582,107376,112658,115988,105844,106461,81137,85432,76923,81764,82464,77722,88260,97496,113206,142836,93103.52380952382
BLACKWELL,928,845,771,674,521,609,674,706,592,605,567,551,596,502,548,480,457,462,469,607,514,603.7142857142857,146175,121118,95452,104192,113404,129438,163435,184380,187407,167726,143566,121575,107987,111092,107256,110014,119905,135720,145754,153440,163934,134903.33333333334
BRAUERS,101,133,140,148,122,137,105,130,167,135,167,127,119,127,115,103,129,105,145,167,120,130.57142857142858,81704,69617,66615,65979,62671,70605,73469,82266,81230,67891,68340,64991,66979,64870,68617,68854,67190,77713,96162,123037,143076,77708.38095238095
BRITISH CAMP FARMS,301,372,313,255,270,255,328,291,275,278,255,245,225,217,260,264,299,333,298,236,222,275.8095238095238,73171,76084,74719,83682,88989,101778,118232,129646,127678,118991,112177,93140,72125,79312,86868,98214,102471,117223,128690,140464,155816,103784.28571428571
BROAD ROCK,582,486,462,515,414,432,421,518,488,444,468,446,356,351,365,373,359,393,499,503,425,442.85714285714283,69715,71349,66380,63106,73900,93593,106207,114066,109538,96131,75885,67008,53433,56496,61900,58049,66123,69797,89001,99296,121304,80108.42857142857
BROAD ROCK INDUSTRIAL PARK,73,72,46,61,41,51,61,57,54,56,63,59,57,54,34,51,58,43,56,47,40,54.0,0,0,0,0,0,0,0,52058,83111,78364,71161,57863,51353,58265,69345,70467,73394,81317,97398,115533,129931,51883.80952380953
