NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,1,1,2,7,3,12,3,22
BEAUFONT,0,0,1,18,12,0,19,1,33
BELLE AND MAYO ISLANDS,0,0,0,0,0,0,1,0,2
BELLEMEADE,2,7,19,110,62,33,148,57,262
BELLEVUE,0,1,4,4,16,0,60,21,49
BELMONT WOODS,0,0,0,9,2,0,1,0,12
BELT CENTER,0,1,26,53,24,8,225,24,189
BIOTECH AND MCV DISTRICT,0,3,4,55,5,12,112,25,1324
BLACKWELL,2,6,19,108,27,31,136,32,410
BRAUERS,2,0,5,15,13,5,34,10,56
BRITISH CAMP FARMS,1,1,11,52,20,10,103,28,87
BROAD ROCK,1,2,14,88,47,20,86,30,174
BROAD ROCK INDUSTRIAL PARK,0,0,2,3,4,2,7,13,15
BROAD ROCK SPORTS COMPLEX,0,0,0,0,0,0,0,0,2
BROOKBURY,0,0,0,3,0,0,7,1,9
BROOKHAVEN FARMS,1,0,2,5,4,0,27,3,11
BROOKLAND PARK,4,2,18,66,29,21,102,16,167
BRYAN PARK,0,0,0,1,0,2,3,0,23
BYRD PARK,3,2,2,27,29,11,82,12,73
CAPITOL DISTRICT,0,0,5,31,4,6,64,11,98
CARILLON,0,4,3,5,5,2,29,6,41
CARVER,2,2,14,41,33,6,130,18,144
CARYTOWN,0,2,14,31,30,1,285,9,268
CEDARHURST,0,0,3,30,15,2,43,17,72
CENTRAL OFFICE,0,0,6,11,8,1,55,5,45
CHAMBERLAYNE INDUSTRIAL CENTER,1,1,10,35,35,14,150,15,123
CHERRY GARDENS,0,0,0,0,1,0,2,1,8
CHIMBORAZO,0,6,11,61,17,41,74,35,148
CHIPPENHAM FOREST,0,4,9,95,29,5,181,18,136
CHURCH HILL,0,1,13,50,59,23,190,49,190
CHURCH HILL NORTH,1,3,18,111,61,28,170,56,232
CITY CENTER,0,2,25,48,23,14,220,14,187
COFER,0,0,0,21,16,3,28,22,63
COLONIAL PLACE,0,0,2,2,5,0,34,8,38
COMMERCE ROAD INDUSTRIAL AREA,0,2,12,6,12,4,47,4,55
COTTRELL FARMS,0,1,6,21,10,0,34,6,39
COUNTRY CLUB OF VIRGINIA,0,0,1,1,0,0,3,0,5
CREIGHTON,2,14,13,113,45,29,75,23,186
CULLENWOOD,0,0,0,4,1,0,10,4,15
DAVEE GARDENS,0,0,0,15,13,3,22,6,58
DEERBOURNE,1,0,7,32,4,0,19,15,58
EASTVIEW,1,2,7,11,11,4,29,9,37
EDGEWOOD,0,0,3,15,12,3,41,10,43
ELKHARDT,0,4,4,48,12,2,52,28,81
FAIRFIELD,2,5,11,136,31,31,83,40,230
FAIRMOUNT,3,5,56,117,31,117,211,77,586
FAWNBROOK,0,1,0,5,2,0,6,6,12
FOREST HILL,0,0,2,1,8,0,103,13,88
FOREST HILL PARK,0,2,0,1,0,4,1,1,8
FOREST HILL TERRACE,0,0,4,13,12,0,81,13,45
FOREST VIEW,0,1,4,18,6,1,36,10,48
FULTON,2,7,21,120,41,38,195,59,325
GAMBLES HILL,0,0,0,1,0,1,11,0,14
GILPIN,5,22,36,206,45,110,151,33,386
GINTER PARK,1,7,35,95,74,30,222,57,272
GINTER PARK TERRACE,0,1,1,5,2,2,19,4,19
GRAVEL HILL,0,1,5,9,14,2,24,1,20
GREEN PARK,0,2,1,17,12,1,32,11,49
HICKORY HILL,0,5,15,38,31,6,51,27,98
HIGHLAND PARK SOUTHERN TIP,3,6,19,117,46,40,102,46,248
HIGHLAND TERRACE,0,4,4,28,22,7,48,19,109
HILLSIDE COURT,1,4,9,105,30,22,36,18,146
HIOAKS,1,5,3,19,17,4,65,6,112
HOLLYWOOD CEMETERY,0,0,1,7,2,0,11,0,6
HUGUENOT,0,1,2,5,1,0,35,3,44
JACKSON WARD,0,9,28,62,38,38,200,28,264
