RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021
275702,1140,The Fan,Neighborhood,VA,VA,Richmond,Richmond,Richmond City,124311,123305,124162,124662,126762,127619,129069,130103,131589,131784,131136,129531,128426,128938,128604,128155,124364,122451,120209,119625,118302,119009,120705,123941,126704,129270,131216,133868,138778,143160,146882,148436,150441,151546,153268,154661,156019,157156,158240,159866,160367,161312,162062,163829,165550,167529,168510,168803,169141,170677,172725,174669,176860,179553,183002,185831,188843,191390,194285,197474,199897,201076,201933,203534,205422,205876,205884,206384,207874,209335,211309,213044,216243,219354,223152,225485,227794,230946,234542,237973,239836,241730,243521,245937,247647,250256,251937,254444,256429,259077,261188,263474,266392,269611,271735,273329,275254,278338,280911,282915,284788,287035,290898,294941,299104,302520,305974,309544,312852,313924,317331,321030,326893,330390,332950,334707,336847,339706,343591,346883,349554,352652,354458,357163,358721,362941,365877,368351,368413,368600,368725,370465,373680,377557,380527,382602,383770,383384,382232,382233,384031,384829,384417,382647,380223,377550,375035,373219,370073,367292,364997,363766,362248,361477,361326,360687,358293,355905,354330,351246,348697,345268,344308,341329,339449,337281,335515,332869,332888,332206,330976,328802,327892,328629,328653,329654,329044,327961,325942,326820,325493,323014,320516,321033,323040,323292,322520,321080,320162,319491,319785,319794,320453,323664,325513,325826,323679,323566,323896,324863,326010,327925,329953,330872,332919,337010,342530,347578,350120,351846,353646,356400,359296,362790,364691,366035,366044,360903,357665,356521,359655,361491,362489,363111,363677,362466,363222,364203,365639,370058,372502,374108,373640,374645,376051,376971,377215,379002,380877,384095,387662,389033,390463,390360,393593,395840,399135,401502,406093,409312,410638,411084,412269,414260,415636,417707,418861,421489,423499,426622,428034,430347,433798,437342,437990,439845,442378,448483,454039,459205,463169,464825,466163,467078,468294,469022,472236,474616,478332,479630,480215,479653,479006,480907,482856,484607,486543,488333,489530,490697,491318,491991,490765,490453,492459,495437,499027,501578,503810,506583,509345,512399,515293,518796,524599,530573,535289
275714,2576,The Museum District,Neighborhood,VA,VA,Richmond,Richmond,Richmond City,,108425,108967,109133,109785,110445,111286,111887,112341,112581,113170,113715,114544,115245,115595,115836,115834,115977,116225,117014,117949,119322,119946,120860,121196,121620,122381,124279,126678,128818,130070,130734,131344,131670,132913,133861,135352,136877,138276,138877,139091,139504,140697,142459,144686,147246,148776,150163,151130,152977,155015,157680,159870,161215,162280,163631,165167,166057,167130,168825,171084,171705,172059,171875,173148,175702,178036,180002,181128,182862,185503,187915,190023,192864,195811,199147,201764,204281,206754,208528,210932,213280,215456,216634,217886,219818,222333,224845,226530,227645,228950,231620,234235,236813,238327,241161,244238,247302,248875,249886,251326,254136,257993,261201,263932,266311,269309,271725,273974,275185,278140,281453,286282,288556,289686,289852,291261,293368,296062,298322,299686,301490,303175,305582,306641,309287,311108,313551,314179,314122,313530,314081,317093,319921,320876,320526,321072,321106,321096,320716,321124,321148,320711,320434,318463,316799,314970,314366,311468,309548,307419,307012,306632,307170,307900,306598,303669,300302,299349,297143,295908,292825,292713,290533,289332,287412,286216,284736,285405,286099,285796,285166,285248,286229,285672,286033,285335,284469,282564,283277,282700,280544,277407,276259,276853,277047,276163,275258,274952,274798,274961,274475,275302,279150,282738,284418,283067,283473,285412,287166,287820,288745,290742,292458,293953,297218,301230,305236,306531,306596,306395,307654,309998,312965,313928,314186,314020,308934,305689,304586,308332,311478,313116,314251,315206,315604,317552,319179,320635,324393,326316,326661,325200,325069,326177,326755,326375,326520,327475,329808,333903,336049,338729,339613,343567,346814,350340,353112,357471,360818,361461,361902,361762,363119,362756,364205,364320,365818,367148,368894,369565,371090,374692,378442,377730,377650,378914,384713,390445,394608,397897,399536,401678,403126,404196,404208,407454,409720,413600,414965,416228,417448,417981,420397,421292,422257,423464,425473,427867,430002,431713,432237,431383,430167,431181,433155,436883,440136,443375,446942,450027,454105,458011,463716,471360,480371,488879
276341,4089,Fulton,Neighborhood,VA,VA,Richmond,Richmond,Richmond City,66529,67595,67617,67635,67420,68033,68845,69666,70216,70755,70890,70935,71320,71506,71934,72863,73613,73945,74024,74222,74784,75669,77537,79369,80558,79992,80305,81116,83069,83476,83890,83997,84109,84022,83511,83590,83385,84270,84633,84974,84624,84742,84637,84675,84681,83682,82058,79853,79225,79970,81418,82508,83325,83891,84243,84507,85280,86726,88889,91298,92739,92127,90850,89915,90093,90742,91981,92658,92597,92544,92873,93141,93502,94072,94741,95138,95313,95090,94206,93967,94702,95324,95477,95608,95482,95736,95982,96576,96450,96488,97401,98710,99225,99650,100012,100414,101130,102072,103234,104652,106299,108498,109878,110566,111105,112611,114803,117236,119965,121898,124272,125176,126436,126782,127864,129523,131965,133389,134686,135802,136121,136851,136858,139225,141343,144507,147017,149506,150664,151566,151337,151523,152965,155084,157865,158590,160344,160677,160950,160031,159828,160826,162144,163838,165097,167075,168184,169525,168212,167171,165756,164897,164147,162832,161286,159224,157568,156266,154425,152088,151033,151205,153256,155677,158782,160300,162981,163378,162137,157204,153977,151707,150795,148813,146525,143926,140856,138842,137240,137471,138351,137455,134384,131423,129211,127199,122066,117077,112637,110052,106080,102377,97943,96708,96389,96273,95469,94460,95835,96731,97076,95884,96158,95697,94865,95053,96322,97956,96919,96192,96115,97396,98141,98288,97483,97857,100636,101654,101823,101341,102963,104643,104297,103838,105668,108606,111889,113271,114029,115653,116767,117174,117573,117770,118889,119394,117389,116178,114805,115234,115343,114182,114017,113420,114349,115547,117794,119494,122669,124398,125593,125830,124875,124654,124942,128471,131179,132865,132032,131704,130424,130166,130771,132417,135606,139647,141896,141684,140175,140670,142939,145280,147429,148905,150157,151491,150857,148463,146096,145745,147642,149026,150442,151432,152811,153298,154404,154847,156651,157886,159363,160518,161829,163288,164192,165110,166454,168890,171022,173750,176364,180552,185343,190271,194652,199345,204795
273588,4471,Eastview,Neighborhood,VA,VA,Richmond,Richmond,Richmond City,,,,,,,,,,,,,,,,,,,,49262,49538,49985,51500,52441,53239,53340,54143,55434,56358,56877,57024,57096,57646,58076,58033,58374,58367,59116,59338,59542,60311,61381,62209,62842,62838,63347,63282,64296,66072,68139,69105,68558,67781,67146,68032,68949,70511,70780,70321,68528,67055,66184,65806,65806,65815,66355,66227,67352,69060,71124,73244,74960,76626,77014,76854,76925,77501,78585,80091,79701,78256,76702,77259,77906,78741,79319,80856,83962,86880,87755,87860,89002,91892,93569,93315,93258,93015,94365,96957,96662,94584,92887,92211,91366,89227,89727,91745,94635,97427,100028,99748,100205,102730,107779,111901,114646,116886,119161,120554,119133,116777,113297,112338,112305,113642,113504,113961,114920,115486,113667,111810,113603,116827,120269,122662,124829,125235,124946,123708,123760,123758,125353,126477,126735,127612,129520,130532,129928,128042,125860,124573,121924,121770,120837,121099,120080,116852,112446,107722,104956,102338,101189,100129,100576,98354,96417,93693,92037,90552,89718,90884,91050,92856,93628,95219,94464,95234,94175,92256,87469,84556,82500,80290,78072,75789,73816,71502,70019,67852,66802,66214,68297,70658,73113,75391,77596,77096,75231,72756,72944,73513,73382,73125,72633,70805,67027,63107,60411,60473,62193,63262,61681,60412,60877,62099,62709,62395,64304,65652,67339,67160,66904,67605,69688,71376,72710,73749,73608,74064,72475,72016,70377,70230,69581,68602,68210,67837,67502,66483,67198,68142,69538,69548,70051,69719,70060,69971,68598,67337,65311,63961,62525,62649,63556,65928,67061,68589,69274,71497,74051,77019,79856,83100,84980,85487,85442,85411,86569,87962,89614,90805,91408,91744,91456,91519,92508,94186,95395,96024,97335,98617,100110,101450,102896,104141,105881,107011,107588,107180,107730,109270,110698,112140,112883,112325,111904,112092,113226,114740,116875,120124,123477,126798,130117,134008,139139,146570
243780,4493,Ginter Park,Neighborhood,VA,VA,Richmond,Richmond,Richmond City,,121156,121595,123371,125286,127369,127776,128741,129068,129620,130132,131073,131872,132314,132774,131028,129086,127131,128109,128891,130411,131761,133131,133786,134045,134521,135682,138092,142151,145478,147423,148298,148657,148198,147471,146774,147714,148970,150219,150903,151800,152623,153841,154218,155797,158139,160934,164050,165537,167676,169572,172381,174453,176909,178612,181078,182001,184430,186599,189073,190573,190383,190215,188302,186134,184753,185141,186991,189007,189536,190265,190677,192653,194762,197027,199752,203173,206317,209276,211331,213184,215158,217081,219252,220462,222649,224589,227674,230213,231689,232138,232510,235121,237723,239525,240333,242681,245844,248026,249047,249688,252471,255495,258722,259616,262130,266046,270404,272920,273069,276342,280077,285115,287865,291488,294798,298604,299940,300612,301587,303625,306206,307144,307868,310150,313715,316935,319800,322235,325140,326662,328354,331098,335010,337694,339888,339250,337823,335007,331678,328932,326233,325457,325142,323479,321571,320308,319582,317566,315046,313311,313069,312670,312917,312699,311824,309322,305898,301895,298237,296217,295552,295576,295079,294507,293715,291827,288890,287964,288768,290160,291217,291602,291206,289575,287902,286052,283371,281708,282008,281594,277399,273129,270015,269924,268947,268615,267389,267627,267477,268092,267772,268649,272787,276238,277350,275814,276407,277477,278934,278448,279832,280833,282429,283603,288218,293130,298670,300088,301262,301813,303639,305940,308390,309399,309371,309034,303074,299483,297125,300119,301036,302018,302879,304570,304607,306018,307139,307911,309408,308889,308321,307570,308573,309823,310739,310604,310970,311081,313123,315320,317250,318750,319451,321376,323418,325746,327162,329078,331049,332307,332473,333928,336353,339483,341870,343933,344794,345593,345946,347272,349161,352568,356154,356565,358387,359355,364385,366936,370732,373638,376553,378328,379511,380509,381721,384889,384159,384390,382376,382795,382686,382199,383666,384959,386013,386776,387604,389236,393016,397217,401587,403023,405326,408707,413353,417529,422113,427022,432114,436548,441189,445511,450369,457494,464332,471119
275852,4897,VCU,Neighborhood,VA,VA,Richmond,Richmond,Richmond City,98317,98496,98540,99998,103122,107041,109628,110246,110538,110013,110559,111306,111559,112475,113077,112916,109246,104978,103412,106259,109753,114743,117297,119066,121495,123387,127350,129805,134495,138208,141669,140699,139171,136671,136323,136925,137478,138947,140946,146884,152076,156562,157103,158444,159008,160112,161889,163542,165119,167650,167988,164645,158552,154372,153230,154573,159340,163462,166175,165940,164919,162511,160356,160554,164769,168996,175184,177879,178099,176909,177836,181760,186041,188701,191896,194697,193677,192439,187701,186793,184507,184963,185651,186227,187413,190254,193706,195658,198531,200617,204300,206296,210849,214392,214319,213089,211197,213321,214250,218016,223374,231195,239236,245190,248980,251487,256538,266278,277901,284468,286507,285749,285010,283750,282086,283906,288748,294939,299718,296981,291584,287218,293952,301640,307917,309053,312653,315004,313737,310263,310518,314026,319752,323675,322388,321238,320434,323890,323251,322724,324185,326827,326168,323364,320301,319104,317836,315700,312207,308653,305514,303651,300896,300719,300099,302648,301586,299556,294954,291363,288713,285915,285516,283298,281894,277873,275756,272526,272776,272489,272126,269283,268091,266287,265030,263311,262205,260550,258382,255559,252040,249274,249934,252618,254151,254721,253259,252329,250443,248748,246918,246150,246541,247575,245660,243211,239305,237544,235391,234512,234625,237658,241474,243759,244413,246088,249526,253237,256204,258866,262129,265974,268160,268672,266288,265324,265189,262023,258814,255961,257416,258634,260353,260804,261592,260652,262578,264833,267801,273369,277300,280529,280324,279999,279715,279402,280366,283059,285433,287298,288001,287431,288619,289535,293050,295117,297523,298660,299902,301085,300808,300712,302309,303759,304143,304739,304630,306716,307716,311204,313722,315810,318581,320782,319766,319805,320317,323062,325356,327410,330207,331387,332085,332466,332755,333362,335248,335761,336308,336228,337264,338468,338361,338540,338526,339535,340750,342618,344242,345862,346171,346531,346145,345525,347835,350936,355557,358010,360393,362293,364386,366958,370565,374063,377835,381790,383932
274523,5028,Midlothian,Neighborhood,VA,VA,Richmond,Richmond,Richmond City,,52231,52078,52797,53584,54701,55094,55843,56681,57260,57454,57367,57728,58104,58947,58955,58913,58442,58759,58746,58557,58718,59237,60413,60883,61388,61736,61981,62498,62704,63405,63693,63904,64193,64756,64844,64881,64715,64940,65473,66235,67160,67949,68706,69687,70111,70504,70541,71006,71501,71983,72042,71721,71800,71763,72017,72095,72697,72917,74053,74258,74510,74251,74993,75919,75696,75370,74943,74973,75030,75483,75668,76138,76660,77487,77373,77330,77899,79096,79901,80425,80567,80796,80765,81213,81841,82618,83889,85143,86332,86628,87322,88427,89906,90972,91941,92598,93477,93828,94203,94066,94524,95070,95387,95399,95545,96325,97276,98415,99047,100382,101408,102975,103984,106113,109092,112022,114224,115484,116714,118202,119569,120867,122231,124029,125807,126643,126564,126902,127716,129160,130422,131640,133115,133762,134538,135025,136148,136486,136143,134249,132278,130462,129851,128624,127611,127098,127185,126128,124000,122709,123371,125111,126255,126485,125165,123761,121964,120547,117955,116161,114851,114043,111898,110012,109040,108697,108509,108441,109355,109025,108971,107964,107963,108619,109541,110245,108473,106576,104478,104542,103133,102569,101748,101574,100037,96275,93183,90230,90385,91150,93208,92130,91071,89116,88481,88907,90934,92981,93967,93881,93275,92638,90930,91681,93135,97047,99365,101385,100559,102398,104162,107120,108652,109370,111582,112005,111964,109094,107735,105592,106286,105631,106754,107098,107638,107761,106473,105363,105489,107430,108554,109106,108820,108288,107504,107092,108614,110536,112685,114761,115651,115727,116351,118307,119184,119828,119316,120418,120277,120649,120833,121707,122622,123789,124574,124923,125463,126166,127536,127810,127836,127801,128364,129036,130327,131079,132040,132997,135291,137831,139656,140727,141703,142536,143180,143382,142693,142664,142933,143994,144277,144667,145387,147012,148577,150622,152172,154110,156156,158286,160160,160733,161623,162451,164148,165323,166670,167815,169476,171138,173174,175023,177050,179923,182836,185895
275038,5267,Piney Knolls,Neighborhood,VA,VA,Richmond,Richmond,Richmond City,112396,114824,115440,117569,118207,119204,118789,119321,119969,121457,122567,123026,123616,122409,122323,121457,121686,121632,123640,124404,124691,123565,123027,123303,123443,123826,124337,125591,128326,130282,131771,132828,133773,134963,135775,136752,137412,138317,138921,139515,139955,140432,140576,140245,140731,140938,141551,141712,142613,143771,144957,146166,146613,147104,147803,148893,149523,149960,150239,150212,149973,148867,148726,148315,148811,149495,150187,150365,149363,148242,147852,148241,148599,149145,148028,147479,146679,146132,145835,146933,150117,154385,157679,160950,163154,165644,167571,169112,169892,170580,171533,172160,172509,171313,169913,167446,166462,166112,167638,169153,171127,173072,174131,174479,174142,175502,177942,181173,184156,185774,187034,187948,189606,191313,193249,196012,199298,202565,205431,207592,208948,210538,213171,217320,221538,225742,229739,232704,234257,235213,236207,239362,242922,247120,249079,249773,250238,250329,251270,252429,254014,254438,254276,252614,251359,250016,249525,247898,244173,240611,237559,236505,234747,232928,231246,230252,229294,226405,224151,222792,223283,223173,222102,217999,215480,213338,211798,208181,205233,205957,207159,208859,209173,209885,209733,209210,206037,201805,199633,199311,196936,190338,181763,174278,168283,162119,155138,147967,144596,144122,141822,136784,131662,128162,124960,119704,114127,111007,110833,114001,114982,113620,111180,110894,111969,113171,115333,117752,120312,120550,119370,116192,112420,110546,108334,106741,104401,103440,102345,102987,102368,100772,98488,96524,96222,94956,96052,97226,98629,99759,100645,100639,101120,102893,105219,106597,107542,109195,110344,110987,111012,109766,108453,107975,109409,110704,112230,114275,116915,117978,117623,116526,116577,116835,118033,119074,120131,121135,121459,121911,121063,121422,122347,124041,126218,128744,129426,128909,127606,128238,128839,129146,129437,130340,131985,134174,134650,135165,136624,138744,140235,139761,140843,142446,144892,146398,148087,149385,150899,151847,152586,152750,152193,151984,152197,153238,154097,154784,155153,155749,157330,159609,162290,165780,170876,176872,182279
274068,5485,Huguenot,Neighborhood,VA,VA,Richmond,Richmond,Richmond City,149931,151212,152623,155117,156815,157595,158082,159133,160060,160777,160787,161121,161228,161265,160479,159119,158131,158423,159230,159513,159833,160423,161837,162474,163347,163750,164368,165719,168205,170495,172005,172460,172551,172559,172321,172557,172901,173767,175267,176662,177197,176916,177292,178310,179842,180582,181859,182979,183912,184829,185082,186110,187012,188917,189461,189966,190468,192520,193893,195424,196721,197814,198724,198606,199930,201657,204610,206940,208278,208742,209449,210567,212407,214492,216857,219023,219540,218951,218137,218397,219589,220980,223041,224941,226645,227957,229260,231112,233339,235858,238420,239823,241480,242805,243677,244330,245243,247122,248412,249423,251257,253969,256482,258928,261082,263873,266999,269983,272836,273900,276563,279619,283245,285056,287231,290622,294609,297918,300419,302607,304237,306697,309114,311694,313489,316816,320055,322936,323603,324081,324691,325963,328385,330770,331792,332849,333810,334264,332780,330957,331072,331283,331069,330787,328746,327445,325305,324280,321332,318553,316299,315347,314143,313222,312478,310522,308297,305046,303324,298820,296518,293476,293220,289868,286454,283204,280719,278083,277236,277769,278039,277670,275936,275203,273686,273873,273424,272179,270524,270648,269505,266016,261449,259178,258950,258449,257054,255480,254648,254291,254115,253545,252937,253410,254169,254505,253694,252789,251862,251550,250562,250293,249208,248598,249744,254921,260707,265168,265594,265967,266478,267911,269898,271493,273527,274147,273516,267590,262618,260098,262020,263913,265591,266835,267252,266279,266006,266403,266490,267721,267888,267495,266854,266413,266414,265647,265720,268071,270511,273097,275416,276960,278612,278997,281447,284035,286707,288072,289722,289921,289227,287844,287740,288610,289588,290916,290375,289837,288834,289317,288960,289704,291352,294410,295102,296829,297980,301581,304056,306425,309020,311444,314448,316519,317543,317305,318624,317903,317928,317051,318356,319890,320818,321968,323484,323742,324428,324826,325957,327753,328916,329948,329670,329948,331509,333970,336197,339057,342216,346206,349581,353466,357941,362814,368423,373961,379211
274713,5866,North Highland Park,Neighborhood,VA,VA,Richmond,Richmond,Richmond City,49287,48199,47452,46469,46885,47280,47287,47315,48099,49641,50775,51944,52615,53715,54648,55128,53899,53188,53166,53253,52056,49786,48073,46646,46467,46786,47879,48742,49516,49611,50016,50321,51155,52726,54777,56663,56975,57395,57763,59047,59341,59676,59244,59123,59171,58130,57655,56992,58148,59024,59027,58894,59503,60828,61758,62187,62480,63150,62161,61992,61036,60737,60151,59075,57957,56636,55834,56131,57052,59145,61195,61511,61303,61205,62282,63121,63289,63169,63609,63694,62849,61128,60735,62209,63925,64757,64882,65458,67350,69361,71193,71878,72653,73584,73884,73580,73314,73831,74136,74163,73871,73474,72603,71766,71568,71080,71000,70898,72030,72558,73924,74824,75940,76908,78671,80611,82525,85049,87917,90154,90934,91953,93171,95449,96707,98650,99689,102102,104058,105198,105042,105286,106301,107780,107775,107275,107349,107253,107811,107816,107646,107747,107763,107797,107465,107704,109212,111137,111620,111698,111066,110775,111010,109937,108956,107973,106746,105049,102689,100005,97918,96335,95478,93826,90864,89241,88699,88571,89481,89272,89049,88238,88226,88407,87104,86165,86328,87832,88107,86802,84596,83039,82544,80540,78951,76153,77132,76924,77694,76605,76839,77204,76005,74475,71585,71366,71302,72219,70936,69647,66712,64137,60875,60126,59884,60784,61762,63822,64663,65586,65807,67989,70871,72581,74282,74091,76792,77936,79732,79462,79770,79253,78560,76854,75320,75684,76290,76390,74627,72879,72114,70351,69194,68068,68021,68209,68410,69256,70292,72298,74647,77160,78538,80001,80987,82433,84302,85961,88178,89073,89804,90386,90166,90952,91931,95157,97242,98863,99289,99934,100478,101326,102921,105009,107223,109696,110508,111919,115555,121196,126036,130064,133655,137838,140427,140836,141181,141135,145037,148573,152985,156601,163037,169435,175850,180502,184601,188219,193399,198696,202720,204236,203582,202542,201762,202686,204562,206434,209922,215413,219805,224461,228303,234698,242172,250711,258195
