Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
23102,3342.0,43.7,92346.0,32064.0,35.0,1.0472770795930582
23106,1270.0,31.2,45125.0,16816.0,497.0,39.13385826771653
23112,50595.0,35.1,80830.0,33038.0,2006.0,3.964818657970155
23153,1073.0,54.2,76964.0,63814.0,21.0,1.95712954333644
23161,62.0,66.3,52143.0,47961.0,0.0,0.0
23181,5618.0,39.7,63288.0,26601.0,409.0,7.280170879316483
23919,2551.0,56.0,37880.0,23450.0,364.0,14.268914151313211
23922,2404.0,46.2,36736.0,13147.0,398.0,16.555740432612314
23952,168.0,50.9,44063.0,22986.0,52.0,30.952380952380953
23966,1886.0,46.3,30739.0,20898.0,697.0,36.95652173913044
23968,776.0,55.1,27250.0,17871.0,129.0,16.623711340206185
23021,347.0,53.8,85990.0,32915.0,0.0,0.0
23043,1386.0,58.0,42639.0,32648.0,80.0,5.772005772005772
23047,1698.0,47.3,69833.0,30714.0,87.0,5.123674911660777
23072,12486.0,39.2,55852.0,27145.0,1523.0,12.197661380746435
23083,1176.0,51.3,49770.0,24365.0,105.0,8.928571428571429
23086,2705.0,45.0,55800.0,26269.0,319.0,11.792975970425138
23089,5015.0,40.2,70129.0,30892.0,820.0,16.350947158524427
23124,3436.0,39.4,69974.0,27519.0,173.0,5.034924330616996
23125,79.0,64.0,120284.0,39641.0,9.0,11.39240506329114
23138,385.0,54.0,65375.0,47075.0,24.0,6.233766233766234
23148,2051.0,41.7,55524.0,26017.0,210.0,10.238907849829351
23175,1540.0,56.4,43618.0,28127.0,157.0,10.194805194805195
23395,232.0,70.8,25511.0,21365.0,0.0,0.0
23407,419.0,39.7,44894.0,29660.0,88.0,21.002386634844868
23050,702.0,34.7,57656.0,28387.0,36.0,5.128205128205129
23023,234.0,55.4,43167.0,32900.0,0.0,0.0
23035,1388.0,40.2,47329.0,23122.0,85.0,6.123919308357348
23045,11.0,-666666666.0,-666666666.0,,0.0,0.0
23055,936.0,48.0,59648.0,21737.0,13.0,1.3888888888888888
23059,33940.0,38.0,104163.0,44947.0,1057.0,3.1143193871538006
23060,33848.0,39.1,79480.0,35837.0,2204.0,6.511463011108485
23076,821.0,50.6,51553.0,26198.0,0.0,0.0
23093,12997.0,41.0,50595.0,23843.0,1665.0,12.810648611217973
23126,234.0,55.8,83043.0,31949.0,5.0,2.1367521367521367
23128,1310.0,43.3,91875.0,32361.0,49.0,3.7404580152671754
23130,351.0,54.5,49444.0,21833.0,5.0,1.4245014245014245
23140,5694.0,44.1,66463.0,32257.0,447.0,7.8503688092729185
23168,6947.0,39.5,79375.0,30510.0,656.0,9.442925003598676
23180,592.0,42.7,48906.0,20395.0,70.0,11.824324324324325
23221,14702.0,33.8,56219.0,44838.0,1803.0,12.263637600326486
23056,417.0,56.7,63533.0,39500.0,0.0,0.0
23062,2271.0,39.9,61955.0,31726.0,121.0,5.328049317481286
23064,55.0,47.4,-666666666.0,19444.0,0.0,0.0
23085,421.0,45.4,39392.0,23281.0,0.0,0.0
23111,36754.0,39.8,67346.0,30480.0,1821.0,4.954562768678239
23117,9520.0,45.4,61477.0,31132.0,960.0,10.084033613445378
23119,215.0,65.2,29750.0,46507.0,0.0,0.0
23120,6193.0,39.1,118564.0,39253.0,76.0,1.2271919909575326
23139,23815.0,42.7,73868.0,33519.0,1284.0,5.391559941213521
23149,3135.0,47.8,46587.0,23980.0,567.0,18.086124401913874
22150,27551.0,36.9,86486.0,35789.0,2269.0,8.23563573010054
22152,29094.0,40.3,113351.0,47018.0,739.0,2.5400426204715747
22172,9111.0,33.0,62042.0,33484.0,884.0,9.702557348260344
22191,61863.0,30.9,79198.0,31401.0,6443.0,10.414949161857653
22204,49521.0,33.9,76052.0,39365.0,7070.0,14.276771470689203
22041,27018.0,37.3,73839.0,36327.0,3972.0,14.701310237619365
22046,16588.0,38.0,126711.0,57725.0,602.0,3.629129491198457
22066,19475.0,43.5,214219.0,89776.0,234.0,1.2015404364569962
22125,648.0,49.4,95446.0,61190.0,76.0,11.728395061728396
22193,74742.0,33.4,90378.0,32824.0,4755.0,6.361884884000963
22209,12036.0,31.5,93906.0,67605.0,1576.0,13.09405117979395
22213,3374.0,39.9,141458.0,67590.0,67.0,1.985773562537048
22305,15416.0,32.2,78220.0,45488.0,1719.0,11.150752464971458
22308,13188.0,43.7,163632.0,67237.0,211.0,1.599939338792842
22435,2578.0,43.2,44806.0,20584.0,266.0,10.318076027928626
22438,262.0,28.8,27679.0,23795.0,12.0,4.580152671755725
22511,1271.0,56.8,46000.0,29812.0,80.0,6.294256490952006
22027,2567.0,44.9,187768.0,61580.0,124.0,4.830541488118426
22151,17734.0,40.0,99527.0,39127.0,987.0,5.5655802413443105
22401,25931.0,28.8,47040.0,27222.0,4342.0,16.744437160155798
22482,3141.0,54.9,40864.0,27107.0,414.0,13.180515759312321
22504,162.0,58.7,38889.0,33275.0,0.0,0.0
22538,255.0,42.8,103021.0,33144.0,0.0,0.0
22539,2177.0,61.9,59881.0,35808.0,227.0,10.427193385392743
22723,143.0,18.3,-666666666.0,17749.0,0.0,0.0
22827,9403.0,45.8,44765.0,23099.0,1101.0,11.70902903328725
22843,2394.0,44.2,43160.0,22364.0,301.0,12.573099415204679
22938,1609.0,47.7,57199.0,24669.0,206.0,12.802983219390926
22026,15221.0,29.9,77264.0,29691.0,1857.0,12.200249655081794
22030,55490.0,33.9,102140.0,44418.0,3158.0,5.691115516309245
22101,30370.0,45.2,180540.0,88139.0,719.0,2.3674678959499507
22102,22146.0,40.2,112427.0,82461.0,824.0,3.7207622143953762
22181,15008.0,39.2,150929.0,62724.0,766.0,5.103944562899787
22182,26044.0,42.2,160631.0,68905.0,851.0,3.267547227768392
22201,34069.0,31.0,113683.0,75255.0,2037.0,5.97904253133347
22306,31996.0,35.0,61975.0,33122.0,4118.0,12.870358794849356
22311,18648.0,35.2,66319.0,37348.0,1788.0,9.588159588159588
22312,29836.0,34.2,76845.0,36048.0,3234.0,10.839254591768334
22405,29763.0,36.8,84528.0,35980.0,1674.0,5.624433020864832
22971,1652.0,43.0,47028.0,17832.0,248.0,15.012106537530267
22942,8368.0,44.0,56750.0,28926.0,970.0,11.591778202676863
22946,279.0,24.7,89583.0,29554.0,0.0,0.0
22949,1165.0,56.8,24939.0,41301.0,262.0,22.489270386266096
22989,123.0,45.5,-666666666.0,32944.0,0.0,0.0
22043,25910.0,35.6,103972.0,48915.0,1388.0,5.357005017367812
22180,23941.0,38.5,127205.0,53471.0,948.0,3.959734346936218
22202,21004.0,35.1,110092.0,74763.0,1109.0,5.279946676823462
22940,1057.0,44.6,54514.0,45530.0,149.0,14.096499526963104
22952,2088.0,46.3,43095.0,23158.0,118.0,5.6513409961685825
22974,5881.0,39.6,78952.0,29037.0,582.0,9.896276143513008
22937,1857.0,36.6,45893.0,20336.0,538.0,28.971459343026385
22042,32356.0,36.4,94135.0,42970.0,1961.0,6.0606997156632465
22079,32986.0,34.8,99025.0,41435.0,1146.0,3.4742011762565936
22153,31906.0,38.5,135641.0,49164.0,1511.0,4.7357863724691285
22203,22929.0,32.1,95410.0,58123.0,2332.0,10.170526407606088
