,YEAR,NEIGHBORHOOD_NAME,VIOLENT_CRIME,NON-VIOLENT_CRIME,OTHER
0,2000,RICHMOND AVERAGE,49.46308724832215,125.40268456375838,144.81879194630872
1,2020,RICHMOND AVERAGE,27.416107382550337,60.79865771812081,110.01342281879195
2,2000,MANCHESTER,49.0,113.0,130.0
3,2020,MANCHESTER,19.0,105.0,144.0
4,2000,OREGON HILL,23.0,48.0,62.0
5,2020,OREGON HILL,7.0,35.0,62.0
6,2000,SCOTT'S ADDITION,34.0,247.0,147.0
7,2020,SCOTT'S ADDITION,20.0,96.0,134.0
8,2000,JACKSON WARD,101.0,396.0,344.0
9,2020,JACKSON WARD,43.0,209.0,267.0
10,2000,SHOCKOE BOTTOM,59.0,249.0,310.0
11,2020,SHOCKOE BOTTOM,70.0,223.0,336.0
12,2000,CHURCH HILL,80.0,284.0,229.0
13,2020,CHURCH HILL,30.0,92.0,132.0
14,2000,CHURCH HILL NORTH,145.0,267.0,405.0
15,2020,CHURCH HILL NORTH,68.0,123.0,264.0
