NEIGHBORHOOD_NAME,CRIME_PERCENT_CHANGE,HOUSING_PERCENT_CHANGE
BEAUFONT,-0.012345679012345678,0.9647260723186568
BELLEMEADE,-0.42789598108747046,0.8181236673773987
BELLEVUE,-0.3940677966101695,1.4900268561517374
BELMONT WOODS,-0.42857142857142855,0.6651153868608268
BELT CENTER,-0.34965034965034963,0.8937487570434206
BLACKWELL,-0.44612068965517243,0.12149136309218403
BRAUERS,0.18811881188118812,0.7511504944678351
BRITISH CAMP FARMS,-0.26245847176079734,1.129477525249074
BROAD ROCK,-0.2697594501718213,0.7399985655884673
BROAD ROCK INDUSTRIAL PARK,-0.4520547945205479,inf
BROOKBURY,-0.37142857142857144,0.48669002456606664
BROOKHAVEN FARMS,24.5,1.056125431836301
BROOKLAND PARK,-0.5289672544080605,4.162819094135155
BYRD PARK,-0.6117021276595744,2.496497205420718
CARILLON,-0.5256410256410257,1.5999840318298857
CARVER,0.19648093841642228,1.310382689269168
CARYTOWN,-0.4096638655462185,2.8452932142016345
CEDARHURST,-0.18421052631578946,1.4355842452972918
CENTRAL OFFICE,-0.3136094674556213,0.4603069595130987
CHAMBERLAYNE INDUSTRIAL CENTER,-0.17971014492753623,inf
CHERRY GARDENS,-0.18181818181818182,0.9974428506862675
CHIMBORAZO,-0.56,1.4781236307708816
CHIPPENHAM FOREST,-0.45227272727272727,1.2347922936562479
CHURCH HILL,-0.5716694772344013,1.197062306605035
CHURCH HILL NORTH,-0.4430844553243574,1.9519421838018454
CITY CENTER,-0.41363636363636364,inf
COFER,-0.1619718309859155,0.9472641018975825
COLONIAL PLACE,-0.6216216216216216,1.3875326236359287
COTTRELL FARMS,0.3291139240506329,0.8143711248892825
COUNTRY CLUB OF VIRGINIA,-0.4444444444444444,1.3228039937515206
CREIGHTON,-0.433392539964476,-0.7026806658934536
CULLENWOOD,-0.13157894736842105,1.1378604333731446
DAVEE GARDENS,-0.34,0.32906641000962467
DEERBOURNE,-0.5401459854014599,0.24261799771353912
EASTVIEW,1.2173913043478262,0.6276580250509758
EDGEWOOD,-0.37142857142857144,0.4981572436744196
FAIRFIELD,-0.263671875,0.8326414275977446
FAIRMOUNT,-0.45081967213114754,2.6215316670400357
FAWNBROOK,-0.25,0.5817371507638347
FOREST HILL,-0.5796178343949044,1.5178219184366255
FOREST HILL TERRACE,-0.6534653465346535,1.716068159670677
FOREST VIEW,-0.2978723404255319,1.3592780299321168
FULTON,-0.32625,0.9469936990495177
GILPIN,-0.2864493996569468,inf
GINTER PARK,-0.3670490093847758,1.3070985566080289
GINTER PARK TERRACE,-0.24444444444444444,2.8416130498218086
GRAVEL HILL,-0.2558139534883721,1.1560854753793743
GREEN PARK,-0.1896551724137931,1.423351878439818
HICKORY HILL,-0.44385026737967914,1.0048601775663657
HIGHLAND PARK SOUTHERN TIP,-0.5429403202328966,3.666878130947433
HIGHLAND TERRACE,-0.3412322274881517,inf
HOLLYWOOD CEMETERY,0.21428571428571427,inf
HUGUENOT,-0.1590909090909091,0.7645819882941904
JACKSON WARD,-0.38287752675386444,1.9334206844478004
JAHNKE,0.05249343832020997,1.1118723574977625
JEFF DAVIS,-0.34310850439882695,0.2970005209332931
JOHN MARSHALL,-0.5426829268292683,inf
LABURNUM PARK,-0.6142857142857143,1.6139976429824419
MALVERN GARDENS,-0.34177215189873417,1.2735956444419239
MANCHESTER,-0.0821917808219178,2.4111075061010876
MARY MUNFORD,0.22857142857142856,1.2884123015753486
MAYMONT,-0.41836734693877553,0.9200464917110173
MCGUIRE,-0.08550185873605948,1.5209615717636686
MCGUIRE MANOR,0.18666666666666668,0.7469236972866099
MIDLOTHIAN,-0.1631912964641886,1.24926178032246
MONROE WARD,-0.3477777777777778,0.6036593297009814
MONUMENT AVENUE PARK,-0.4620253164556962,1.4658344898003206
MOSBY,-0.16550764951321278,2.4352702740220438
NEWTOWNE WEST,-0.5616438356164384,1.0636663359047405
NORTH HIGHLAND PARK,-0.4095890410958904,2.354508500238632
NORTHERN BARTON HEIGHTS,-0.5237603305785123,2.750369240158682
NORTHROP,-0.20786516853932585,1.3312262297822544
OAK GROVE,-0.3413284132841328,inf
OAKWOOD,-0.5537459283387622,0.07058138688787019
OLD TOWN MANCHESTER,1.5872093023255813,1.5603305247405577
OREGON HILL,-0.21804511278195488,1.627806274812915
OXFORD,-0.46496815286624205,0.8361385263766687
PETER PAUL,0.28125,1.3048490884020223
PINEY KNOLLS,-0.3760504201680672,0.03938338729712668
POCOSHOCK,-0.391304347826087,1.5147824345969034
PROVIDENCE PARK,-0.2350597609561753,0.7535533280774862
RANDOLPH,-0.40097799511002447,2.1459013948948744
REEDY CREEK,-0.32941176470588235,1.9029647744133649
ROSEDALE,-0.125,1.5022555588180337
SAUER'S GARDENS,-0.6017191977077364,1.4159714148943445
SCOTT'S ADDITION,-0.4158878504672897,0.6678802288431532
SHERWOOD PARK,-0.1728395061728395,1.4722542204568023
SHOCKOE BOTTOM,0.01779935275080906,1.6831446710388405
SOUTH GARDEN,-0.16816816816816818,0.27621261507104294
SOUTHAMPTON,0.2857142857142857,1.0511321484506275
SOUTHERN BARTON HEIGHTS,-0.5905511811023622,2.3729969615593127
STADIUM,-0.475,3.037439872107795
STONEWALL COURT,-0.46153846153846156,1.0657481272557079
STONY POINT,0.25,0.698144745628085
STRATFORD HILLS,-0.19895287958115182,1.2073354364400717
SWANSBORO,-0.5064420218037661,0.8267274364168354
SWANSBORO WEST,-0.3899159663865546,2.7336149856938485
SWANSON,-0.26153846153846155,0.7674070520508515
THE FAN,-0.5650238473767886,1.7208824531141849
THE MUSEUM DISTRICT,26.857142857142858,1.7007239847124258
THREE CHOPT,-0.4316546762589928,1.2771005763429002
UNION HILL,-0.08295964125560538,inf
VCU,-0.5377574370709383,1.1686758905498473
VIRGINIA UNION,-0.16455696202531644,2.8054382754297738
WALMSLEY,-0.2647058823529412,0.2799606818593342
WARWICK,-0.3894736842105263,inf
WASHINGTON PARK,-0.3791469194312796,-0.4186442397664115
WESTHAMPTON,-0.7058823529411765,1.4209649063817933
WESTLAKE HILLS,-0.12244897959183673,1.3682826846866145
WESTOVER,0.025089605734767026,1.4305208681994903
WESTOVER HILLS,-0.2465753424657534,1.3673121670949173
WESTOVER HILLS WEST,-0.19230769230769232,1.3526177210770551
WILLOW LAWN,-0.609375,1.3260840967255854
WILLOW OAKS,-0.6521739130434783,1.2579025912359245
WILTON,1.2222222222222223,1.0859752773975544
WINDSOR FARMS,-0.29545454545454547,0.9343486082214736
WOODHAVEN,0.03278688524590164,1.050709322907035
WOODLAND HEIGHTS,-0.41688654353562005,1.8308476399429727
WOODVILLE,-0.02112676056338028,0.04443818927189792
WORTHINGTON,-0.42168674698795183,0.9176602871934222
