YEAR,NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER,TOTAL_CRIME,AVERAGE_HOUSE_PRICE,CRIME_PERCENT_CHANGE,PRICE_PERCENT_CHANGE
2000,Richmond,75,296,1091,5908,2841,2430,10866,2548,21578,47633,120849,0,0
2001,Richmond,67,291,1328,6341,2871,1629,10953,2762,20581,46823,125362,-1.700501752986375,3.7345970224862532
2002,Richmond,83,356,1316,5718,3039,1780,12141,2537,18182,45152,133842,-3.5687589432543834,6.764059967803192
2003,Richmond,88,273,1336,5699,3113,1820,10823,2890,15921,41963,148043,-7.06281006378455,10.610350974042383
2004,Richmond,90,245,1304,5351,2716,1953,8091,2369,14038,36157,162962,-13.835998379524819,10.077603373228786
2005,Richmond,83,238,1196,5239,2511,2754,8220,2214,16667,39122,185458,8.200348480238958,13.80422690381518
2006,Richmond,72,216,995,5447,2281,2937,6354,1421,19735,39458,206458,0.8588517969428966,11.323612703890356
2007,Richmond,55,168,962,5334,1875,2786,5634,1240,23159,41213,221026,4.447767246185818,7.055914544110438
2008,Richmond,31,158,772,4980,1748,2690,5306,1022,21739,38446,218568,-6.713900953582607,-1.1120333946586909
2009,Richmond,43,152,849,5082,1584,2734,5874,978,20597,37893,202962,-1.4383811059668106,-7.140040526227201
2010,Richmond,44,149,730,5068,1766,2479,5885,868,20048,37037,194143,-2.258992426041749,-4.344850882914484
2011,Richmond,39,127,675,4697,1892,2116,5865,915,19115,35441,180715,-4.3092043092043095,-6.9166935340375835
2012,Richmond,45,113,627,4684,1993,2332,6163,918,18977,35852,175390,1.1596738241020288,-2.946473057700064
2013,Richmond,38,126,623,4483,1813,2231,5993,927,17058,33292,183518,-7.140466361709249,4.634018856141819
2014,Richmond,41,166,570,4321,1699,2077,6030,740,16854,32498,186801,-2.384957347110417,1.7887740787309567
2015,Richmond,43,171,489,4413,1594,2063,6206,905,17948,33832,192268,4.104867991876423,2.926964889382398
2016,Richmond,62,199,550,4320,1517,1793,6151,1277,18858,34727,204087,2.6454244502246396,6.147073127074955
2017,Richmond,63,223,513,4069,1388,1902,6446,1182,19668,35454,217908,2.0934719382612954,6.771979768099354
2018,Richmond,55,181,428,4090,1115,2077,6573,1344,19533,35396,238910,-0.16359226039374966,9.638235870771902
2019,Richmond,63,185,428,3933,1024,1913,6512,1188,19555,34801,256082,-1.6809809017968131,7.187309082072475
2020,Richmond,71,166,360,3488,850,1254,5794,1161,16392,29536,276581,-15.128875607022788,8.005094791097088
