NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,1,0,1,1,4,2,5,3,9
BEAUFONT,0,1,0,18,12,1,22,8,37
BELLE AND MAYO ISLANDS,0,0,0,2,1,0,8,0,5
BELLEMEADE,1,8,13,127,81,40,145,53,213
BELLEVUE,0,2,2,5,23,4,51,21,65
BELMONT WOODS,0,0,0,0,0,0,2,2,8
BELT CENTER,0,4,24,38,17,14,246,28,198
BIOTECH AND MCV DISTRICT,0,0,3,20,2,10,72,19,113
BLACKWELL,1,4,18,99,46,23,95,29,359
BRAUERS,0,2,2,22,18,8,29,17,50
BRITISH CAMP FARMS,0,2,5,56,21,2,72,11,86
BROAD ROCK,0,6,12,98,43,22,105,51,178
BROAD ROCK INDUSTRIAL PARK,0,0,3,5,3,16,7,6,21
BROOKBURY,0,0,1,3,1,2,2,1,10
BROOKHAVEN FARMS,0,0,4,8,7,0,29,0,15
BROOKLAND PARK,4,4,11,54,45,32,101,38,138
BRYAN PARK,0,0,1,4,0,0,6,3,21
BYRD PARK,1,1,5,27,9,8,46,25,66
CAPITOL DISTRICT,0,0,5,30,1,2,41,9,94
CARILLON,0,1,0,9,3,0,26,3,26
CARVER,0,4,11,59,31,10,140,31,157
CARYTOWN,0,1,22,30,31,5,195,18,169
CEDARHURST,0,7,9,35,30,4,56,22,87
CENTRAL OFFICE,0,0,9,7,5,1,69,5,55
CHAMBERLAYNE INDUSTRIAL CENTER,0,1,14,38,31,5,65,18,82
CHERRY GARDENS,0,0,1,3,0,2,0,2,4
CHIMBORAZO,2,1,15,65,19,33,66,42,114
CHIPPENHAM FOREST,0,3,3,52,18,2,212,17,137
CHURCH HILL,1,3,31,65,57,26,188,76,178
CHURCH HILL NORTH,4,5,29,109,51,22,134,63,224
CITY CENTER,2,1,15,47,37,17,171,18,197
COFER,0,0,3,24,18,1,44,27,72
COLONIAL PLACE,0,0,1,2,8,0,25,6,51
COMMERCE ROAD INDUSTRIAL AREA,0,0,10,13,5,6,41,6,31
COTTRELL FARMS,0,1,3,12,5,1,20,4,30
COUNTRY CLUB OF VIRGINIA,0,0,0,1,0,0,7,1,0
CREIGHTON,4,5,16,104,23,25,56,38,149
CULLENWOOD,0,0,0,4,1,0,17,5,9
DAVEE GARDENS,0,2,0,14,7,7,20,6,36
DEERBOURNE,1,4,9,28,3,2,16,11,46
EASTVIEW,1,0,8,12,6,3,28,17,45
EDGEWOOD,0,1,1,13,22,3,43,15,55
ELKHARDT,0,3,6,45,13,3,55,22,85
FAIRFIELD,2,1,6,117,35,35,58,34,150
FAIRMOUNT,1,8,39,107,20,121,144,61,372
FAWNBROOK,0,0,0,0,0,0,1,1,6
FOREST HILL,0,0,5,7,12,4,64,5,61
FOREST HILL PARK,0,0,0,2,0,1,1,0,6
FOREST HILL TERRACE,0,0,10,13,16,3,94,16,61
FOREST VIEW,0,0,2,13,9,4,61,16,45
FULTON,3,4,24,123,73,29,173,93,321
GAMBLES HILL,0,0,0,2,0,1,11,0,15
GILPIN,5,8,27,206,43,86,113,50,287
GINTER PARK,1,4,38,85,65,46,205,63,289
GINTER PARK TERRACE,0,0,1,5,1,1,9,10,22
GRAVEL HILL,0,0,6,3,11,3,33,2,23
GREEN PARK,0,0,1,6,19,2,35,12,44
HICKORY HILL,0,2,1,44,14,3,45,18,62
HIGHLAND PARK SOUTHERN TIP,3,5,19,114,43,42,99,26,190
HIGHLAND TERRACE,2,1,5,38,24,13,65,13,100
HILLSIDE COURT,3,4,4,130,31,29,47,18,152
HIOAKS,2,3,8,34,11,2,48,13,145
HOLLYWOOD CEMETERY,0,0,0,4,1,0,9,0,11
