RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021
67732,80,23464,Zip,VA,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News,Virginia Beach City,116462,116079,115884,115468,115151,114945,114898,114853,114721,114485,114420,114475,115039,115444,115859,115795,116102,116473,117015,117357,117662,117927,118233,118449,117933,118085,118101,118959,119067,118970,118295,118142,118514,119410,120026,120570,121202,121492,121889,122094,122667,123370,124381,125309,125912,126340,126671,127211,127899,128670,129411,129997,130525,130920,131213,131146,131282,131316,131807,132235,132835,133460,134029,134502,134971,135509,136374,137267,138144,138801,139371,139795,140360,141002,141842,142722,143567,144463,145211,146314,147453,149085,150654,152406,154024,155508,156949,158249,159621,161236,162864,164346,165807,167636,170042,172587,175168,178040,180914,184689,188220,192010,195608,199826,203683,207027,210091,213985,218349,222231,225979,229574,235091,240142,245258,249427,254758,259732,264339,267690,270311,272536,275152,276495,277013,277002,278687,280462,281395,281895,282171,281933,281378,282616,284450,286745,287054,287781,287206,286863,286029,285766,284734,284107,283883,282880,280557,277993,276380,274699,273106,271029,269457,268025,267374,266262,264574,262077,260074,258404,257234,256591,255841,255341,254503,253402,252622,252526,253230,253942,254515,254594,254558,253857,251741,249816,248112,247420,246146,244486,241860,239546,237957,237445,236067,234369,234264,235151,235542,234619,233476,233221,233006,233240,232607,232217,232602,233552,234030,232742,232182,231865,232627,232769,234022,234991,236179,235951,235606,234992,235306,236310,237295,238589,239458,240240,240966,241259,241798,242492,243147,244227,243901,243921,243652,244032,243945,243827,243128,243931,244544,245286,245431,245536,246183,246437,247069,246940,247457,248308,249268,248549,247437,246911,247282,247500,248341,249892,251186,252104,252378,252243,252500,253153,254609,255621,256721,257592,257471,256393,255396,255189,255540,256496,257098,257697,257645,258071,258526,259232,260174,261232,261967,262383,263003,263290,263309,263762,264559,265146,265013,265370,266371,267142,267882,268443,269267,270063,271881,273549,274963,276050,277924,279539,281006,282747,285304,288111,290802,293882,296663,299657,303169,307370,311724,316426,321337
67730,95,23462,Zip,VA,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News,Virginia Beach City,93370,93211,93166,93064,92933,92715,92556,92476,92484,92460,92459,92505,92674,92881,93088,93177,93430,93700,93981,94085,94190,94381,94710,94965,95074,95269,95305,95335,95217,95398,95541,95912,96179,96438,96522,96673,96858,96982,97241,97718,98319,98842,99337,99800,100206,100653,100997,101421,101856,102371,102839,103320,103740,104091,104344,104369,104584,104718,105158,105485,105886,106314,106762,107043,107224,107360,107825,108280,108700,108959,109241,109501,109894,110368,110949,111538,112150,112872,113505,114433,115442,116844,118096,119451,120682,121851,122945,124018,125189,126471,127669,128729,129794,131165,133049,135060,137165,139405,141748,144744,147534,150567,153425,156758,159753,162320,164692,167683,170985,173956,176745,179399,183523,187323,191263,194568,198831,202806,206410,209143,211441,213476,215792,217191,217968,218319,219959,221740,222845,223936,224927,225513,225505,226862,228734,231035,231748,233026,233257,233516,233274,233159,232477,231989,232115,231511,229896,228023,227109,225911,224702,223055,221787,220611,220027,219190,217961,216197,214818,213410,212207,211207,210519,210156,209696,208884,208098,207813,207906,208077,208043,208042,207775,207274,205324,203522,201772,201013,200215,199182,197525,195782,194387,193483,192145,190474,189946,190226,190378,189719,188315,187358,186490,186392,186080,185906,186267,186882,187347,186407,185984,185483,186095,186162,186896,187321,187838,187616,187277,186897,187316,187899,188318,188774,189376,190091,190752,190840,190896,191283,191506,192336,191678,191753,191381,191946,191809,191760,191365,192331,193346,194038,194556,194791,195754,196247,197152,197173,197428,198028,198862,198359,197328,196919,197080,196986,197116,197669,198286,198732,199123,199100,199346,199801,200919,201595,202386,203225,203620,203561,203604,204071,204657,205312,205669,206117,206267,206693,207105,207641,208381,209107,209140,209177,209275,209706,209792,210244,210880,211443,211376,211563,212008,212670,213540,214385,215413,216305,217928,219319,220615,221535,223335,224938,226697,228146,230186,232278,234360,236585,238661,240910,243412,246458,249363,252522,255642
67180,214,22191,Zip,VA,VA,Woodbridge,Washington-Arlington-Alexandria,Prince William County,143738,143867,144079,144501,144796,145234,145491,145761,145734,145924,146182,146490,146370,146282,146131,146104,146236,146045,146154,146067,146302,146127,145814,145536,145781,146066,146251,146141,146036,145995,145862,145986,146254,146599,146941,147000,147137,147297,147648,148165,148543,149175,149639,150163,150574,151287,152122,153207,154276,155538,156730,157556,158433,159146,160305,161042,162209,163162,164640,166395,168205,169938,171428,173665,176192,178880,181481,184231,186973,189880,192627,195152,197680,200488,203463,206203,208710,211533,214127,217648,220967,224543,227528,230503,233670,236167,239404,242180,245276,247969,251522,254387,257223,260137,264328,268224,272291,277196,283127,289095,295172,301022,307652,315090,322888,330231,336067,343509,350952,358882,364211,371714,379547,388911,395967,402532,410071,417313,423805,429378,434223,438856,443178,445309,447295,447144,448567,448195,445075,440689,437488,435102,432218,425889,421063,417207,415375,412355,406452,399855,393813,389640,383617,373959,363158,353639,341811,327753,309820,295336,283480,273743,264108,253086,244298,235675,229286,224159,222499,220845,220724,220175,219976,220004,219822,222999,225851,232189,235341,238118,238046,241094,244911,247041,247544,246962,249150,248453,246543,242969,242355,243033,242672,241576,239493,239709,240814,242450,242290,241098,241386,241568,243124,242724,245543,246455,248033,248782,249560,250904,251501,254501,257993,261163,262344,263901,265150,268189,271239,273621,275931,277964,280983,282488,283189,283874,284974,285771,285988,285579,285025,284987,285184,285446,284883,284859,283817,283587,283543,284917,286444,286648,287229,286760,287012,286492,287006,288357,290693,292075,291422,290535,289378,290921,291921,294557,295766,297194,298616,298075,298035,298719,301845,305240,307314,307827,307317,306458,306669,307679,308037,309829,311458,312636,314519,313422,314086,313608,316236,318699,320177,320224,320855,321460,320760,320397,319117,321262,323068,325309,325208,325319,326109,327977,328505,329234,332097,335301,336331,336710,336717,339042,340270,341481,343699,346695,351082,354678,357634,360580,365917,371025,376733,381151,387627,394634,401187
67655,218,23320,Zip,VA,VA,Chesapeake,Virginia Beach-Norfolk-Newport News,Chesapeake City,118407,118197,118508,118744,118973,118701,118338,118320,118545,118873,118991,119242,119535,120119,120046,120034,120250,121283,122479,123294,123541,123692,123892,124127,124548,124958,125670,126115,126251,126206,126284,126269,126754,127264,128317,129037,129314,129400,129390,129924,130519,131243,131768,132334,132811,133172,133310,133531,134043,134779,135549,136444,137220,137844,138158,138599,138987,139494,140112,140852,141589,142173,142801,142412,141969,141595,142225,142871,143420,143964,144526,145134,145662,146279,146925,148019,149210,150335,150998,151650,152595,153614,154749,155883,157331,158514,159679,160813,161904,162788,163678,164737,166216,167952,169828,171362,172979,174604,176793,179030,182073,185789,190334,195027,199306,203274,206656,210484,214045,218966,223374,228821,234027,239387,243221,247012,250610,254624,258932,263382,267200,270075,273280,275599,277094,277985,279968,281274,281817,280991,280545,281055,283201,284791,285125,285606,285542,285536,284652,284641,285180,285875,286103,284758,282301,279890,278637,276689,275994,274496,273721,271463,269224,268354,267126,266624,264983,263755,261635,259988,258143,257107,256035,255751,255504,254269,253720,252463,252431,252305,252298,252687,252153,251422,249605,247821,246287,244581,243134,242078,241315,239699,238410,235836,233843,232153,232258,232509,231884,231398,229911,228956,227081,226790,226673,227948,229038,229252,227709,226222,225645,226095,227211,227487,228561,228659,228593,228381,227933,228524,229108,230263,231386,231605,231488,231618,231682,231907,232256,232193,233040,233432,235014,235152,235016,235069,236057,237173,237501,237391,237354,237468,237284,237066,236769,237334,238012,238600,237711,236639,236550,237249,237715,237836,238224,238743,238943,239003,239294,239644,240769,242184,243560,244763,245723,246665,246803,247092,247303,247621,247688,247851,248330,248515,248091,247484,247461,247935,248919,249763,250781,251721,252355,252976,253730,254814,256068,256850,257606,258242,258867,259213,259750,260108,260703,260715,260152,259912,260554,262314,264065,264986,265623,266241,267509,269278,271359,273884,276952,279914,282505,284791,287299,290793,294821,299431,303766
67222,277,22304,Zip,VA,VA,Alexandria,Washington-Arlington-Alexandria,Alexandria City,189256,188522,188159,187072,186310,185649,185260,184667,183782,183319,182878,182565,181732,180904,180259,179455,178361,176939,175296,175470,175649,176181,175224,174407,174176,174436,173973,174784,175533,176855,177531,176058,175319,173063,173366,173569,173888,174747,175943,175906,175835,175418,176564,176939,177503,178761,180610,181972,184003,184896,186423,187291,188547,189881,191442,195018,197970,201446,201855,203450,203914,205192,205707,207475,209656,211676,212091,214090,215971,217758,219242,221665,224188,226585,228586,231420,233515,236701,240684,241688,242785,243971,248063,248813,250852,253296,257744,260357,262388,262674,263708,266094,270075,274625,279764,287012,293525,300125,305695,312090,319747,329971,340389,351257,360321,368082,373067,378846,384481,388422,392310,396987,404703,411753,418064,422372,427107,429939,433356,433295,434080,434368,435712,435792,432463,427185,420759,414110,406448,402012,397855,396308,394207,395461,395125,394499,392515,390658,388321,386307,384881,380900,376091,370856,366818,362307,356738,349878,342837,336926,333889,331325,328430,325979,324500,322913,319610,313473,310619,309843,311913,312263,310709,308559,306853,306612,306541,306074,304670,306414,306310,307774,306003,306605,306513,307715,308559,306731,305301,305154,307378,307383,305090,301585,300052,297529,295670,293490,292507,294354,295079,294345,293392,293139,295919,296783,297816,298608,300627,302008,303393,304044,305281,307188,307861,308830,309432,311725,313504,316091,318005,321022,322430,322876,323012,323312,325660,327750,328832,329243,329536,329470,328421,327063,327305,328494,329561,330215,328937,328748,328692,328785,328025,327526,328953,330603,330951,330383,330189,330400,331656,330594,330482,330227,332629,333554,333522,332091,332093,332669,333438,334116,333989,335595,336914,339271,339453,341010,341495,343279,344315,345398,346180,346246,347333,347105,346616,345591,345687,345997,347308,348061,347459,347779,348961,352077,353900,355782,357854,360005,362146,362525,363299,364537,368082,370082,370848,371582,373556,379365,382966,385028,383942,386275,389916,393845,396103,398639,401875,404341,406350,405445,406247,408296,412688,415113,415960
67182,280,22193,Zip,VA,VA,Woodbridge,Washington-Arlington-Alexandria,Prince William County,145024,144988,145162,145406,145478,145555,145691,146002,146165,146394,146667,147080,147231,147457,147463,147559,147955,148316,148669,148710,148924,148938,148969,148811,149005,149202,149388,149353,149223,149109,149008,149061,149172,149383,149475,149586,149739,149992,150356,150918,151538,152295,152705,153111,153543,154350,155192,156054,156910,158028,159126,159853,160206,160410,161333,162280,163684,164640,166135,167911,169756,171389,172918,175095,177746,180720,183441,186038,188436,191103,193670,196055,198607,201415,204117,206590,209040,211719,214229,217249,220241,223325,226045,228817,231725,234180,237466,240384,243387,245986,249295,252358,255155,258453,262796,266868,270763,275230,280639,286115,291671,297219,303577,310840,318576,325667,331259,338162,345277,352916,358176,365566,373390,382411,389342,395560,403005,409882,415871,421149,425816,430394,434397,436026,437487,436870,437453,436422,432454,427794,423954,420779,416966,410600,405848,401963,398683,394539,387796,381436,375788,371708,366244,356960,346922,337869,327318,314570,299264,286683,277158,268173,258897,247988,239114,231000,224978,219671,217071,214426,213706,212855,212391,212121,212168,215283,218672,225415,228833,232154,232973,237323,241769,244566,245362,245647,248291,248342,246762,242978,242382,242961,242823,242075,240246,240508,240986,242270,241612,240379,240581,241265,243385,243468,246271,246438,247656,248239,249287,250402,251062,254037,257518,260479,261200,262585,263613,266905,270246,272982,275698,278216,281928,283861,284744,285330,286488,287282,287918,287856,287280,286927,286985,287292,286467,286023,284909,284869,285234,286928,288638,288744,289358,289089,289738,289569,290450,292189,294833,296570,295963,295146,293937,295881,297214,300390,301585,303004,304187,303710,303689,304402,307550,311222,313759,314439,314136,313308,313926,315253,316232,318657,320793,322255,324449,323547,324319,323944,326582,328965,330591,331002,331779,331894,330761,330115,328858,330734,332413,334556,334589,334763,335148,336554,336797,337574,340616,343870,344840,345123,345236,347832,349443,350921,353809,357403,362537,366815,370372,374026,380052,386087,392545,397604,404594,412332,419496
67722,287,23454,Zip,VA,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News,Virginia Beach City,128365,128251,128127,127763,127256,126616,126217,126026,126055,126125,126232,126433,126665,126904,127104,127373,127759,128141,128450,128622,128968,129440,130052,130459,130757,130889,131038,131190,131661,132641,133371,133943,133795,133414,132911,132667,132755,132955,133225,133721,134185,134588,134970,135572,136321,137250,138024,138917,139693,140550,141226,141907,142483,142985,143477,143624,143999,144277,144991,145513,146109,146709,147443,147960,148400,148708,149388,150080,150864,151435,152005,152522,153268,154095,154984,155867,156739,157796,158790,160197,161618,163562,165417,167450,169246,170934,172529,174139,175865,177858,179682,181300,182973,185111,187838,190672,193584,196834,200282,204707,208779,213143,217318,222370,226914,230958,234650,239231,244321,248811,253189,257145,263380,268883,274688,279180,285085,290180,294930,298303,301226,303824,306617,308103,308422,308301,309869,311539,312183,312699,313104,313048,312021,312773,314158,316457,316677,317469,316566,316013,315011,314610,313428,312604,312534,311586,309147,306198,304309,302431,300861,298906,297358,295996,295302,294226,292449,289827,287792,285876,284735,283906,283268,282670,281792,280565,279594,279353,279895,280675,281337,281565,281357,280562,278056,275870,273947,273096,271825,270115,267731,265435,264084,263745,262438,260626,260454,261485,262102,261462,260337,259915,259335,259411,258456,258147,259019,260812,262081,261226,261149,261211,262604,263255,265007,266314,267905,267791,267477,266659,267002,267812,268353,268801,269053,269588,270095,270248,270359,270897,271004,271665,270546,270392,270133,271229,271563,271868,271575,272779,273912,274561,275012,275566,277193,278074,279073,278965,279484,280432,281389,280595,279471,279447,280261,280597,281051,282133,283086,283744,284050,283822,284172,284844,286382,287676,289069,290350,290637,290368,290525,291244,291885,292705,293377,294323,294549,294731,294604,294908,295779,296871,297104,297297,297878,298728,298809,299087,299770,300350,300578,300868,301833,302479,303393,303927,304712,305292,307022,308757,310437,311766,313967,315950,317668,319290,321674,324596,327453,330649,333679,336891,340461,344818,349151,354005,359110
66242,296,20147,Zip,VA,VA,Ashburn,Washington-Arlington-Alexandria,Loudoun County,226622,226486,226183,225654,224902,224223,223595,223405,223261,223311,223356,223568,223715,223641,223664,223907,224411,224940,225079,224866,224711,224727,224807,224822,224810,224882,224861,224675,224777,224873,225633,226341,227080,227307,227503,227551,228065,228748,229798,230702,231585,232620,233872,234768,235570,236400,237748,239361,240852,242465,244131,245977,247947,249669,251177,253447,256429,260146,263418,267451,271991,277026,281145,285215,288861,293371,297386,300919,303468,306173,309162,311578,313425,314885,316841,318876,321109,323048,325511,328365,331172,333195,335334,338185,341391,344299,347432,350955,353364,356197,358360,361612,364626,368623,374307,379806,384736,390358,397062,404882,414203,422758,433976,444192,456383,467617,476727,485726,493588,499922,507465,514250,524348,534664,543431,552246,559876,568338,572559,573438,578203,584259,586129,585047,580703,575593,567586,557978,548778,537099,529803,526690,524320,522444,519624,516221,510362,503303,496817,493401,488921,487774,484072,478475,468595,455762,443875,433371,426240,422386,420430,414598,409734,402087,396557,390232,385250,383285,384198,385091,384234,381599,380474,381159,382329,384428,388475,392091,395628,397746,398153,400558,403656,407827,408656,408845,408349,409730,408375,409081,408603,409234,409090,408984,409040,409215,409134,411744,412850,411989,409520,408192,409460,411819,415439,418314,420945,421871,424302,423531,424948,425981,431228,435244,440844,444590,446761,447320,447587,449566,452210,455807,459484,464311,468092,470642,470067,468774,469145,471182,473230,473658,472537,472967,472533,472073,469681,468737,467891,468377,468859,467911,467600,467862,469340,468935,468720,469356,471107,471512,471388,471581,471385,472701,473206,474565,475579,477619,479257,479472,478935,479784,482364,484862,487299,488475,490265,491764,493436,494705,496360,498345,501603,503449,505774,505593,505546,506186,508699,510818,512157,513853,513946,515198,515260,518605,520602,524655,527747,529770,529606,529867,529651,530865,533650,536287,539582,541540,544507,545981,547918,549466,549718,549458,554308,560518,567186,571425,576166,581188,586552,593162,600465,609197,620443,632732,641880
67787,303,23666,Zip,VA,VA,Hampton,Virginia Beach-Norfolk-Newport News,Hampton City,97070,96728,96594,96368,96191,96146,96095,96205,96251,96446,96710,96913,96962,97241,97508,97670,97413,96966,96504,96175,96143,96082,96020,96024,96246,96449,96548,96688,97542,98457,99426,99843,99948,99869,99771,99841,99985,100060,100269,100399,100414,100531,100784,101192,101713,102281,102782,103204,103576,104115,104592,105122,105387,105589,105946,106484,106965,107262,107694,108140,108617,108996,109340,109587,109824,110032,109660,109235,108864,109154,109449,109767,110038,110261,110526,110909,111354,111842,112494,113185,114091,114701,115360,116050,117033,118058,119054,119884,120824,121691,122719,123718,124706,125783,126969,128084,128977,129980,131184,132469,133750,134965,136676,138627,141011,143409,145804,148141,150365,152689,155204,158195,161479,165419,168912,172608,175512,178148,180277,182692,185657,188651,191314,194042,195853,197541,199174,200861,202155,203101,204444,206270,207671,208852,209624,209754,209868,209611,209329,209084,209785,211067,212238,211957,211550,210900,211052,211297,212766,214034,215138,215087,214468,213742,212941,212813,212540,212260,211403,210349,208652,206951,205620,204682,204545,204088,203792,202644,201764,200976,200297,199736,198938,198358,196760,195245,192273,189772,187068,185505,184223,183041,182053,180671,179260,177425,176038,173786,172383,170917,170068,169271,168530,167871,166535,165283,164125,163856,163963,165975,167216,168761,169315,169372,168191,166931,166594,167067,166396,166641,165161,163647,161282,159910,159392,159411,160903,162621,163697,164139,166613,166467,169309,170383,174529,175958,176867,177545,176818,175785,174888,174564,173921,173992,173367,173514,172647,172833,172848,172461,173142,173914,175018,175511,175771,176378,176295,176087,175323,174919,175496,176398,177497,178548,179592,180548,180596,180824,180517,180694,180937,181568,181582,181826,180823,180111,179075,179189,180067,180728,182014,183222,184544,185673,186728,187918,189282,190109,190411,190140,190038,190436,191039,191236,191543,192027,193302,193417,193704,193782,195362,197000,198923,200776,202274,204032,205682,207540,209087,211620,214381,217736,220428,223348,226034,228821,231958
67598,309,23223,Zip,VA,VA,Richmond,Richmond,Richmond City,93978,93026,92095,90974,90916,91033,91386,90981,91049,90815,90705,90803,90725,91227,92058,92189,90989,89600,88398,88355,87880,88175,88782,89237,89842,90222,90827,91947,93285,94679,95597,96419,97423,97964,97941,97843,97900,98306,98819,99324,99735,100369,100765,101335,101257,101441,101603,101965,102689,103326,103830,103853,103272,102514,102297,102122,102219,102188,102877,103544,103611,103293,103430,104082,105158,106011,106392,106571,106881,107350,107328,107310,107636,108570,108835,108867,108888,109295,109900,110627,111411,112224,113110,114030,114755,115435,116369,117504,118305,118617,118851,119435,120249,121183,121747,122117,122824,123379,123941,124110,124565,125893,127603,129074,130036,130664,132026,133802,135433,136606,138071,140246,142797,144671,145852,147105,149049,151455,153540,154827,156035,157487,158828,159680,160415,161547,163474,165369,166354,166717,166846,167866,168810,170269,171762,173374,175014,175917,176130,175598,175321,175132,175220,174861,175330,175398,175315,174487,173099,172049,170887,170316,169764,169653,168792,167518,164514,162277,160066,158728,156814,155283,154663,154123,153887,153119,152942,152724,153375,153271,152728,151656,151274,151064,150337,149338,147510,145628,143601,142437,141530,140107,138754,137853,137398,136119,134129,132437,131445,130920,130475,129519,128589,127949,127737,127118,126342,126219,126862,127383,127742,128046,128410,128603,128598,129083,129536,130034,130543,130763,131051,130958,131050,130883,130560,130798,130597,130532,130213,130225,129306,128758,128114,128128,127470,127368,127745,127987,128835,129336,130119,130398,131917,132656,133393,133471,134510,135363,135823,136361,136729,136962,137117,137913,138484,139672,141077,143319,144997,146142,147127,148152,149334,150731,152321,153981,155536,156481,156628,156576,157276,158600,160131,161402,162285,163327,164281,165357,165992,167210,169019,170595,171811,172813,174354,175427,177029,178149,179221,179705,180538,181548,182587,183851,184814,186028,186710,187688,188321,188963,190299,191389,192508,192938,193988,195313,197111,198498,200119,201962,204032,206461,208530,211276,214122,217554,220583
