,YEAR,NEIGHBORHOOD_NAME,VIOLENT_CRIME,NON-VIOLENT_CRIME,OTHER
0,2000,Richmond,7370,18685,21578
1,2020,Richmond,4085,9059,16392
2,2000,MANCHESTER,49,113,130
3,2020,MANCHESTER,19,105,144
4,2000,OREGON HILL,23,48,62
5,2020,OREGON HILL,7,35,62
6,2000,SCOTT'S ADDITION,34,247,147
7,2020,SCOTT'S ADDITION,20,96,134
8,2000,JACKSON WARD,101,396,344
9,2020,JACKSON WARD,43,209,267
10,2000,SHOCKOE BOTTOM,59,249,310
11,2020,SHOCKOE BOTTOM,70,223,336
12,2000,CHURCH HILL,80,284,229
13,2020,CHURCH HILL,30,92,132
14,2000,CHURCH HILL NORTH,145,267,405
15,2020,CHURCH HILL NORTH,68,123,264
