YEAR,NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER,TOTAL_CRIME,AVERAGE_HOUSE_PRICE,CRIME_PERCENT_CHANGE,PRICE_PERCENT_CHANGE
2000,OREGON HILL,0,0,1,22,7,4,29,8,62,133,113852,0,0
2001,OREGON HILL,0,1,2,18,3,3,55,8,69,159,105669,19.548872180451127,-7.187401187506587
2002,OREGON HILL,0,1,5,25,6,7,42,2,74,162,120697,1.8867924528301887,14.22176797357787
2003,OREGON HILL,0,1,3,18,2,3,34,7,59,127,147486,-21.604938271604937,22.195249260545
2004,OREGON HILL,0,1,4,17,3,9,35,7,63,139,178047,9.448818897637794,20.721288800292907
2005,OREGON HILL,0,1,4,17,5,2,35,4,83,151,207896,8.633093525179856,16.764674496060028
2006,OREGON HILL,0,0,2,11,9,6,28,5,82,143,235787,-5.298013245033113,13.415842536652942
2007,OREGON HILL,0,0,7,23,6,5,40,10,86,177,251167,23.776223776223777,6.522836288684279
2008,OREGON HILL,0,0,7,18,7,6,29,4,108,179,242119,1.1299435028248588,-3.6023840711558446
2009,OREGON HILL,0,0,3,20,2,8,36,5,139,213,225384,18.994413407821227,-6.911890434042764
2010,OREGON HILL,0,0,1,22,2,9,31,4,178,247,217904,15.96244131455399,-3.3187803925744506
2011,OREGON HILL,0,0,4,18,6,5,23,5,127,188,209238,-23.88663967611336,-3.976980688743667
2012,OREGON HILL,0,1,0,26,3,1,41,6,123,201,203594,6.914893617021277,-2.6974067807950757
2013,OREGON HILL,0,0,0,14,2,11,29,4,89,149,215812,-25.870646766169152,6.001159169720129
2014,OREGON HILL,0,1,0,11,12,5,45,6,76,156,216773,4.697986577181208,0.4452949789631716
2015,OREGON HILL,0,1,0,15,6,7,26,6,97,158,228896,1.282051282051282,5.592486149105285
2016,OREGON HILL,0,2,1,8,6,4,29,4,66,120,243999,-24.050632911392405,6.598193065846498
2017,OREGON HILL,0,1,2,7,2,7,16,7,76,118,253575,-1.6666666666666667,3.9246062483862634
2018,OREGON HILL,0,0,0,9,6,0,24,6,89,134,274305,13.559322033898304,8.175096125406684
2019,OREGON HILL,0,0,2,9,4,6,31,1,67,120,289369,-10.44776119402985,5.491697198374073
2020,OREGON HILL,0,1,0,6,1,5,25,4,62,104,299181,-13.333333333333334,3.390826246073353
