YEAR,NEIGHBORHOOD_NAME,ZIPCODE_1,ZIPCODE_2,ZIPCODE_3,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER,TOTAL_CRIME,AVERAGE_HOUSE_PRICE,CRIME_PERCENT_CHANGE,PRICE_PERCENT_CHANGE
2000,SHOCKOE BOTTOM,23223,23219,23231,0,2,9,48,20,16,171,42,310,618,133572,0,0
2001,SHOCKOE BOTTOM,23223,23219,23231,0,1,23,69,16,21,256,52,321,759,124103,22.815533980582526,-7.089060581559009
2002,SHOCKOE BOTTOM,23223,23219,23231,1,4,22,69,21,20,241,47,356,781,173231,2.898550724637681,39.586472526852695
2003,SHOCKOE BOTTOM,23223,23219,23231,0,1,26,85,20,14,317,42,289,794,227640,1.6645326504481435,31.408350699355196
2004,SHOCKOE BOTTOM,23223,23219,23231,2,5,14,71,20,10,204,48,263,637,233897,-19.77329974811083,2.7486382006677212
2005,SHOCKOE BOTTOM,23223,23219,23231,0,2,18,69,19,16,216,53,295,688,285336,8.006279434850864,21.992158941756415
2006,SHOCKOE BOTTOM,23223,23219,23231,0,3,14,88,16,23,144,32,435,755,322226,9.738372093023257,12.92861748955617
2007,SHOCKOE BOTTOM,23223,23219,23231,0,6,16,68,18,28,159,14,403,712,330489,-5.695364238410596,2.564349245560569
2008,SHOCKOE BOTTOM,23223,23219,23231,0,2,13,76,14,33,103,14,385,640,324592,-10.112359550561797,-1.7843256507780896
2009,SHOCKOE BOTTOM,23223,23219,23231,0,0,12,72,17,14,107,16,414,652,311260,1.875,-4.107310100064081
2010,SHOCKOE BOTTOM,23223,23219,23231,2,1,11,70,3,21,91,16,419,634,295168,-2.7607361963190185,-5.169954378975776
2011,SHOCKOE BOTTOM,23223,23219,23231,2,3,17,77,7,46,105,15,471,743,282008,17.19242902208202,-4.45847788378144
2012,SHOCKOE BOTTOM,23223,23219,23231,0,1,14,66,8,24,165,17,406,701,275685,-5.652759084791386,-2.2421349748943293
2013,SHOCKOE BOTTOM,23223,23219,23231,0,1,15,58,6,24,144,24,390,662,290953,-5.563480741797433,5.538204835228613
2014,SHOCKOE BOTTOM,23223,23219,23231,0,0,9,44,7,8,119,13,300,500,289767,-24.47129909365559,-0.40762597395455624
2015,SHOCKOE BOTTOM,23223,23219,23231,0,5,7,46,9,21,119,7,310,524,289752,4.8,-0.005176572901676175
2016,SHOCKOE BOTTOM,23223,23219,23231,0,1,7,48,2,13,116,20,349,556,304304,6.106870229007633,5.022225903531296
2017,SHOCKOE BOTTOM,23223,23219,23231,2,2,8,69,7,15,202,17,403,725,318528,30.39568345323741,4.674273095325727
2018,SHOCKOE BOTTOM,23223,23219,23231,0,6,4,72,5,27,216,30,423,783,340102,8.0,6.77303094233474
2019,SHOCKOE BOTTOM,23223,23219,23231,3,7,6,70,4,14,224,32,444,804,345392,2.681992337164751,1.5554157282227097
2020,SHOCKOE BOTTOM,23223,23219,23231,2,6,9,53,10,10,173,30,336,629,358393,-21.766169154228855,3.7641288738592666
