Region Name,Region ID,Size Rank,Zip Code,Second Zip Code,Third Zip Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,01/2021 - 07/2021
The Fan,275702,1140,23220,None,None,127836,123561,142352,162437,182038,205964,232209,260460,291018,329759,362160,381826,368158,345374,329122,321602,325518,352072,361787,375400,398726,423322,456708,480578,495304,303858
The Museum District,275714,2576,23221,23230,None,101811,117029,127964,141834,160915,177585,204623,229180,257186,286845,308869,320485,310695,293345,285108,276785,285041,306324,312329,325949,348648,367651,392892,417523,434587,272206
Fulton,276341,4089,23231,None,None,68845,74232,82636,83851,84273,91855,94762,97677,108507,128146,144710,159428,165284,156413,147458,122359,96219,96882,105052,116738,118553,129542,143823,150422,164079,110944
Eastview,273588,4471,23223,None,None,0,21060,56303,61406,68660,68249,77785,87201,93115,109183,113776,123713,125148,102226,92292,73809,73953,62921,68541,69548,67897,72297,89160,100886,111755,76686
Ginter Park,243780,4493,23227,23222,None,116266,130858,143066,154101,177360,188498,206580,231219,255014,288535,315653,332768,316170,297226,287628,270665,277100,300294,303092,309751,324448,344755,370552,384376,409187,263880
VCU,275852,4897,23220,None,None,105650,111232,133850,152749,161754,170814,188608,202452,234922,287480,305630,323158,308944,286579,265507,250882,240605,258740,260737,279550,295037,309509,327332,338134,350792,218294
Midlothian,274523,5028,23224,23225,None,50424,58793,62999,67575,72133,75091,78703,86353,94808,106655,124843,133641,125812,114786,108304,97336,91526,102205,107836,108290,118442,125716,136367,145698,162246,103753
Piney Knolls,275038,5267,23224,None,None,118564,122979,130139,140025,147321,149036,150163,169236,172578,194165,225395,250708,240568,219833,206000,162012,117094,114391,99648,104464,112739,120336,129422,141436,153123,97920
Huguenot,274068,5485,23235,None,None,156938,160163,169195,177798,188966,203503,218863,236226,256064,287052,316948,331652,318973,293086,274682,258557,251965,265463,265677,267693,283913,289970,307354,320752,333446,212116
North Highland Park,274713,5866,23222,None,None,48386,52181,50388,58376,60763,58872,62383,69375,72642,79259,99020,107526,109879,96285,87918,79018,69115,66844,77670,70310,83456,97772,123746,162263,203830,138195
Jahnke,274126,5964,23225,None,None,69658,78514,81451,93769,97209,98608,108500,122396,132960,145057,179001,188566,185866,168766,152434,133322,123378,124692,140854,147089,162334,175402,184609,198290,205293,129504
Westover,276031,6251,23225,None,None,62810,65078,69269,72091,77678,77462,82381,92365,104657,117797,139384,151933,147081,141687,134396,119993,103171,112901,115977,120337,130576,136183,159854,174760,188798,126024
Stratford Hills,247700,6300,23225,23235,None,122833,120892,128311,135707,146767,158649,172764,189149,207489,232498,258594,273338,260255,250745,239167,224260,215695,232233,234824,245068,259880,273476,289416,302676,323964,206895
Randolph,275134,6338,23220,None,None,58129,65465,67937,71019,73769,74520,82217,91343,104743,117818,137335,156999,162361,151155,148666,136064,133034,145367,148127,151306,165004,177030,194076,211956,232070,150746
Shockoe Bottom,275369,6410,23223,23219,23231,90186,114446,127224,128974,133572,124103,173231,227640,233897,285336,322226,330489,324592,311260,295168,282008,275685,290953,289767,289752,304304,318528,340102,345392,358393,222702
Gilpin,273822,6622,23220,23219,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58881,112904,182291,126083
Bellevue,272920,6691,23227,None,None,109372,107827,115485,126497,142984,150168,168434,188995,204858,231872,258154,265466,259927,248313,242895,231106,237716,251652,257725,266497,282936,300601,320885,335723,356034,223143
Walmsley,275911,6929,23234,None,None,102178,94161,105479,107223,115977,120942,124905,140010,154264,171398,195144,217421,208598,192401,175977,140119,122163,121930,123531,125205,127554,125302,136936,142019,148446,98413
Northern Barton Heights,274776,7059,23222,None,None,71575,67853,78402,82038,81925,82370,88520,101961,115150,131148,155836,173665,173526,151810,144456,130452,124709,138392,150209,162129,186088,206998,263811,270259,307249,197303
Carver,273147,7064,23220,None,None,0,26489,100321,108083,112023,103439,85346,104789,134409,147304,175594,203083,192118,186346,175392,157113,154667,162095,167651,174186,187870,197729,225693,247122,258816,164253
Bellemeade,272919,7328,23224,None,None,45938,50611,53580,54348,60970,55926,56010,58908,64114,75966,86441,93773,97523,86433,73785,62111,60356,61080,65558,59610,58628,65129,79389,93220,110851,77283
Church Hill,242515,7332,23223,None,None,119279,127854,148667,152327,157062,147762,162856,185556,198668,234338,266700,280136,262604,235140,228737,215394,210263,223706,231048,256620,280420,299113,320999,334904,345075,215759
Three Chopt,275740,7675,23226,None,None,144086,147562,156672,173628,188603,199666,218089,238662,263626,298591,323278,338726,325098,304294,296801,289544,289462,313103,319243,329835,349546,369754,386453,412057,429468,265682
Swansboro,275646,7695,23224,23225,None,63673,77386,85828,86655,88860,78084,66560,71707,78692,92214,107595,127245,128243,121820,111740,98022,98252,95791,94614,96112,107576,124371,139640,143868,162323,110014
Jeff Davis,274132,7772,23234,None,None,60786,57528,61530,69705,72946,67018,70870,73611,88184,104922,112205,118557,124378,116740,101614,74914,67839,64818,71100,58763,67885,68397,74851,79136,94611,66819
Monroe Ward,274576,7789,23220,23219,None,0,49066,117690,132424,138386,128134,147250,181120,244505,259090,267207,284104,265770,245675,224399,202181,189943,206462,200485,196458,200478,200082,208546,207651,221924,139230
Oxford,246270,7958,23225,23235,None,147419,151220,161937,173088,186737,194101,210020,231541,252523,275132,308372,321767,308431,288108,276657,256922,252454,266288,264478,261446,280958,290428,310665,327510,342875,219817
Woodland Heights,276134,7980,23225,None,None,94611,99601,106965,113210,117137,121617,131857,155537,174319,197818,225102,246977,238960,229058,222521,212066,206450,217644,217463,236378,249152,269610,288871,307341,331597,210658
Colonial Place,273325,8001,23221,23226,None,132991,136013,148065,162686,179701,192836,212097,235754,259700,289678,310602,321002,311857,298932,292121,287376,291229,309154,312392,325137,341923,360492,384228,409756,429042,268668
Cedarhurst,273174,8013,23225,None,None,81311,84719,90526,96023,99145,103587,116211,133130,145549,164552,186463,202304,191767,182287,175947,161856,148982,160166,166095,170535,178949,196141,212780,226384,241476,157473
Swansboro West,275647,8034,23224,None,None,32873,39866,41719,40560,44736,47556,46733,49436,58482,72238,81093,93835,93176,85626,79312,66660,61078,59569,65199,64890,73364,81331,103418,131956,167027,107292
Church Hill North,273246,8104,23223,None,None,0,54227,93681,88817,79009,78184,88943,100613,125025,155478,173854,190194,186571,172499,155136,144334,143037,137796,128071,134121,144536,163804,189362,210120,233230,149722
South Garden,275433,8275,23224,None,None,92484,101640,104235,111192,118731,122439,126915,138078,144527,160224,187491,204508,196493,174891,165442,121163,96032,96522,91841,100512,110054,119496,128048,140166,151526,96572
Carytown,273150,8398,23221,None,None,69127,73394,80485,83069,89201,100232,121131,145350,161508,192542,219213,231990,226152,216494,210685,202834,204574,224212,230675,246090,266487,287389,312731,322981,343004,220719
Brookland Park,273065,8404,23222,None,None,36452,41108,50444,51072,52414,54218,53950,55281,63473,73551,84422,98541,106891,93700,88713,82624,75294,81378,87075,90926,109523,150918,197511,233423,270604,182063
Woodhaven,276126,8418,23224,None,None,58463,64939,66098,68868,75706,74991,80850,88639,93114,105209,120844,130317,125940,121269,114064,93191,86105,98527,90518,99146,107985,114328,125116,129594,155251,104712
University of Richmond,276617,8780,23173,None,None,130599,168789,189110,210481,255344,266334,275155,307605,356217,396082,398054,447639,397443,347324,362762,369854,368824,401061,416737,434785,452309,481900,544136,564349,587744,366909
Jackson Ward,274120,9000,23220,23219,None,0,28008,56232,82333,90058,87868,108740,123348,149908,188449,211024,226593,223346,207603,199616,184106,176503,185714,194414,204414,213416,223190,244696,253219,264178,168841
Highland Park Southern Tip,276374,9107,23222,None,None,0,16922,38255,40292,45713,47224,46501,53579,57481,68184,82351,89372,92477,83443,68439,58836,70208,83144,90254,97743,97054,117851,154408,167297,213337,138694
Chimborazo,273239,9109,23223,None,None,139542,98432,117844,116930,111833,122858,116077,116631,126289,148583,179403,195754,194527,170813,163849,156669,149420,158863,165367,179500,205663,230883,254964,268619,277136,181281
Old Town Manchester,276501,9197,23224,None,None,54620,84702,111295,116479,122956,139093,161511,199865,217466,303592,355573,345862,326691,306307,270842,246799,227828,234442,231615,247590,258663,283458,306332,321100,314808,171928
Westlake Hills,276025,9274,23225,None,None,87573,89355,94349,100219,102701,106645,119415,133944,148273,165151,183049,196966,187021,177059,174467,163522,158004,171488,170377,169307,184841,200237,214561,227498,243225,157946
British Camp Farms,273043,9328,23234,None,None,54063,58482,63933,69218,73171,76084,74719,83682,88989,101778,118232,129646,127678,118991,112177,93140,72125,79312,86868,98214,102471,117223,128690,140464,155816,102691
Windsor Farms,248613,9336,23221,None,None,342029,350512,419579,478798,568122,609052,657040,704257,765069,839262,910285,962813,936412,867988,837668,813647,823875,881713,883240,888073,925445,953437,994608,1050626,1098946,691927
Mosby,274598,9491,23223,None,None,0,28090,34928,34938,36019,31310,38209,47659,46027,48726,53637,60939,61080,46539,49221,44906,48362,49764,54746,59809,65756,72206,104133,120417,123735,84662
Malvern Gardens,276434,9612,23221,23230,None,180426,178407,194706,219659,246857,269836,293065,320622,349522,396917,431777,444129,421277,397549,393842,388532,387214,406774,420356,433378,467207,491831,516501,543154,561253,356009
Virginia Union,276633,9622,23220,None,None,54412,51060,55680,62188,69397,65516,67050,76185,88002,106111,122870,131766,130364,119804,112991,103137,103097,114448,119408,125537,143103,162906,216346,230008,264086,178639
Hickory Hill,273972,9664,23224,23234,None,55002,56098,60257,62424,67693,67518,72387,74909,82377,92836,107461,115172,118950,108620,103413,82233,70624,68753,71232,74023,72746,82574,103890,116045,135715,89044
Westhampton,29365,9713,23226,None,None,150629,154443,168324,189162,208186,232076,251421,274207,300886,340924,371791,387798,377194,354248,346188,337577,338173,366598,374954,383540,405011,433467,454518,480761,504011,318259
Oak Grove,276489,9739,23224,None,None,0,0,0,0,0,0,28195,59260,68523,75471,94849,106216,107913,93910,89433,72387,64273,71682,86888,80157,69320,71616,80090,90627,113254,79705
Mary Munford,274441,9903,23221,23226,None,146555,149907,163296,183178,199194,213474,233344,260250,284411,321229,344636,359811,355582,337436,322738,312681,316165,337467,340846,357253,373793,391211,415929,440466,455838,282621
Byrd Park,276228,9996,23220,23221,None,79902,88069,96833,101192,104488,119087,138436,160518,179923,201344,223144,242006,238244,220505,221215,209627,213317,229852,240011,249245,265806,282317,312748,332681,365342,233123
Blackwell,272977,10018,23224,None,None,131443,143919,147154,142259,146175,121118,95452,104192,113404,129438,163435,184380,187407,167726,143566,121575,107987,111092,107256,110014,119905,135720,145754,153440,163934,105394
Northrop,274790,10028,23225,None,None,79900,82742,87421,91702,95708,100151,97234,104444,130695,148229,164079,171860,167004,153164,143411,125836,123165,126565,135519,135097,146034,167821,182481,204210,223117,144552
Beaufont,272895,10129,23225,None,None,62627,77094,81899,85594,91484,93484,95124,105911,118208,128152,145227,162598,156474,143748,129220,119188,116402,113647,110738,115794,133430,136345,149896,161228,179741,117080
McGuire Manor,274466,10176,23224,None,None,66882,68547,69145,75033,76878,78362,78711,80644,90864,100122,113098,122642,126897,118309,112250,89813,72768,76486,75136,78740,81932,91613,116277,122930,134300,94037
Oregon Hill,274924,10219,23220,None,None,89743,95591,96934,110473,113852,105669,120697,147486,178047,207896,235787,251167,242119,225384,217904,209238,203594,215812,216773,228896,243999,253575,274305,289369,299181,188111
Reedy Creek,275148,10302,23225,None,None,65116,68698,71116,71598,72788,73170,73568,84099,101893,115803,132238,143344,139596,130892,123722,109393,108083,111652,124527,121546,138069,146289,167803,188645,211301,140083
Fairmount,276328,10506,23223,None,None,0,35519,60980,60459,62494,57232,72377,77125,87029,104944,123498,146614,139746,125633,118368,98849,93768,93754,93788,102816,105421,136949,181656,199954,226324,143701
Laburnum Park,274218,10600,23227,None,None,130317,131372,144481,157427,184131,188756,216359,237368,261029,310534,351576,357317,342865,343538,346066,343748,335715,339084,344664,350509,375399,405817,437725,455374,481318,296231
Union Hill,275799,10655,23223,None,None,0,0,0,0,0,0,0,45091,113692,135878,147512,173852,190222,178360,170630,157830,160141,165132,164688,176293,202337,226690,254296,268082,276724,173431
Worthington,276156,10744,23225,None,None,72115,76620,78197,81055,85378,87509,88977,99202,106933,120010,138655,149704,139007,125960,114525,103285,93232,96931,106930,114749,123371,129336,141223,150958,163726,106583
Broad Rock Industrial Park,273046,10843,23224,23234,None,0,0,0,0,0,0,0,0,0,0,0,52058,83111,78364,71161,57863,51353,58265,69345,70467,73394,81317,97398,115533,129931,81296
Fairfield,273668,10859,23223,None,None,66637,69057,66665,67672,64556,56464,58253,62891,62737,77118,94327,120025,110002,106905,97844,82960,67693,56121,51348,50733,52835,55302,71312,99239,118308,81740
Forest Hill Terrace,273754,10987,23225,None,None,75314,84317,92986,98079,109801,115384,126547,143292,163311,187664,210929,227901,220625,208509,206872,196288,190349,203969,208589,216639,230709,250742,268474,285620,298227,192312
Chippenham Forest,273242,11101,23225,None,None,106097,105534,106328,120426,126597,138104,140224,163500,181626,207604,236156,237243,226368,223937,214542,195694,198389,213574,213494,218084,226070,233714,245383,265700,282918,181569
Providence Park,275102,11123,23222,None,None,60879,72058,74762,79216,88790,85741,84524,84698,84560,92118,104890,116976,111404,91001,79101,62459,62051,60999,65627,60705,66272,75308,100922,129054,155698,102764
Forest Hill,276334,11249,23225,None,None,121665,118062,129686,142802,152593,165766,179288,194596,214869,246259,275049,287086,280435,268518,261147,247649,245146,262855,269145,280010,301104,315662,338168,354716,384202,239461
Chamberlayne Industrial Center,273210,11265,23222,23220,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54205,108526,113505,107187,101733,132687,172372,210082,133813
Creighton,273397,11265,23223,None,None,383587,456083,487012,490967,458692,438719,386484,370787,342681,362168,359659,393931,376485,330899,334449,338861,225700,169047,157200,154446,150729,127736,118240,147267,136378,81025
Westover Hills,248445,11346,23225,None,None,127064,141116,148037,159837,181358,192849,216559,239301,267368,301164,328477,341162,333630,311202,301855,290483,285080,311405,317691,326567,345126,358091,383129,404006,429331,269712
Swanson,275648,11385,23225,23224,None,86878,88199,91314,99999,104225,103348,106098,116830,126319,144499,167253,179042,172755,156940,147880,123525,112585,115761,118286,126609,133136,150139,160419,171374,184208,118869
