NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,2,1,4,4,0,12
BEAUFONT,0,0,3,14,4,5,8,4,34
BELLE AND MAYO ISLANDS,0,0,0,7,0,3,8,1,137
BELLEMEADE,1,1,8,86,44,36,81,11,301
BELLEVUE,0,0,0,3,10,3,27,7,57
BELMONT WOODS,0,0,0,1,2,0,1,0,13
BELT CENTER,1,1,7,36,3,14,99,22,202
BIOTECH AND MCV DISTRICT,0,1,0,12,1,20,16,1,118
BLACKWELL,1,3,12,86,25,52,72,14,286
BRAUERS,0,1,6,25,7,10,17,3,58
BRITISH CAMP FARMS,1,2,4,36,16,14,44,5,123
BROAD ROCK,0,3,9,78,20,21,80,11,224
BROAD ROCK INDUSTRIAL PARK,0,0,3,4,3,3,11,3,32
BROAD ROCK SPORTS COMPLEX,0,0,1,6,4,0,1,0,9
BROOKBURY,0,0,0,7,0,2,2,1,31
BROOKHAVEN FARMS,0,0,1,9,6,2,13,1,42
BROOKLAND PARK,1,2,4,69,41,43,55,11,246
BRYAN PARK,0,0,0,0,0,2,1,1,12
BYRD PARK,0,0,2,15,23,8,25,5,71
CAPITOL DISTRICT,0,1,3,11,1,8,17,1,153
CARILLON,0,0,0,5,8,1,7,0,27
CARVER,0,3,14,36,22,11,164,10,261
CARYTOWN,0,0,5,25,20,12,104,7,227
CEDARHURST,0,0,9,31,11,10,26,4,93
CENTRAL OFFICE,0,1,1,16,0,1,19,0,101
CHAMBERLAYNE INDUSTRIAL CENTER,1,0,2,28,13,6,31,9,145
CHERRY GARDENS,0,0,0,2,2,1,2,0,13
CHIMBORAZO,2,1,5,31,13,7,41,3,94
CHIPPENHAM FOREST,0,0,5,52,4,6,116,3,134
CHURCH HILL,0,0,6,37,21,14,67,10,148
CHURCH HILL NORTH,0,2,11,66,28,30,79,10,226
CITY CENTER,1,2,8,79,3,56,150,12,375
COFER,0,1,1,11,9,3,12,2,49
COLONIAL PLACE,0,2,1,1,7,1,15,2,31
COMMERCE ROAD INDUSTRIAL AREA,0,0,1,3,0,2,27,9,44
COTTRELL FARMS,0,0,1,9,5,3,18,2,34
COUNTRY CLUB OF VIRGINIA,0,0,0,0,1,0,0,0,1
CREIGHTON,1,4,5,66,27,24,34,9,212
CULLENWOOD,0,0,1,12,3,0,7,0,17
DAVEE GARDENS,0,0,1,21,12,1,9,1,52
DEERBOURNE,0,0,1,13,9,2,10,5,35
EASTVIEW,0,0,11,17,3,11,23,4,71
EDGEWOOD,0,0,5,9,9,1,20,5,54
ELKHARDT,0,1,10,42,7,15,55,6,137
FAIRFIELD,3,2,9,100,32,32,38,10,227
FAIRMOUNT,1,2,12,64,20,46,60,8,203
FAWNBROOK,0,1,0,4,4,2,3,0,20
FOREST HILL,0,1,1,3,8,0,18,4,52
FOREST HILL PARK,0,0,0,0,0,0,1,0,2
FOREST HILL TERRACE,0,0,2,14,7,0,27,3,53
FOREST VIEW,0,1,4,8,13,6,20,3,59
FULTON,0,2,20,90,46,20,112,19,328
GAMBLES HILL,0,0,0,1,0,1,9,1,10
GILPIN,1,5,22,246,45,149,79,22,769
GINTER PARK,0,0,18,108,57,51,118,26,416
GINTER PARK TERRACE,0,0,3,8,8,9,9,2,34
GRAVEL HILL,0,0,2,3,16,2,42,0,38
GREEN PARK,0,0,2,10,5,7,10,2,52
HICKORY HILL,0,2,1,30,13,4,29,3,82
HIGHLAND PARK SOUTHERN TIP,1,3,11,61,23,55,48,13,233
HIGHLAND TERRACE,0,2,2,39,7,20,23,3,108
HILLSIDE COURT,3,1,1,83,17,30,24,6,248
HIOAKS,0,1,3,48,5,12,38,4,113
HOLLYWOOD CEMETERY,0,1,0,0,2,0,5,1,10
HUGUENOT,0,0,0,11,5,1,32,2,51
JACKSON WARD,0,3,25,72,36,75,198,18,481
JAHNKE,0,1,11,77,34,9,62,15,171
JEFF DAVIS,1,8,22,118,48,68,145,32,525
JOHN MARSHALL,1,1,9,81,10,25,20,6,153
LABURNUM PARK,0,0,1,0,3,1,7,1,16
MAGNOLIA INDUSTRIAL CENTER,0,0,0,1,0,4,9,0,14
MALVERN GARDENS,0,0,0,4,4,2,13,1,36
MANCHESTER,0,2,5,26,13,6,29,7,80
MARY MUNFORD,0,0,0,2,2,1,9,3,20
MAURY,0,0,1,6,1,15,16,1,50
MAYMONT,0,0,0,11,6,0,9,3,41
MAYMONT PARK,0,0,0,0,0,0,6,0,4
MCGUIRE,0,0,4,35,22,7,34,7,119
MCGUIRE MANOR,0,0,7,31,7,4,26,7,134
MCGUIRE VETERANS HOSPITAL,0,0,1,11,3,0,4,1,30
MIDLOTHIAN,0,3,16,95,25,46,147,21,371
MONROE WARD,0,3,7,56,19,48,153,12,448
MONUMENT AVENUE PARK,0,0,2,6,6,1,20,3,38
MOSBY,2,3,14,123,21,57,62,7,299
MUSEUMS,0,0,2,12,2,7,30,0,101
NEWTOWNE WEST,0,0,1,11,5,5,25,0,69
NORTH HIGHLAND PARK,0,3,16,117,25,38,70,20,289
NORTHERN BARTON HEIGHTS,1,3,15,85,53,67,125,11,377
NORTHROP,1,1,10,67,16,19,59,15,168
OAK GROVE,1,1,12,72,33,38,67,16,244
OAKWOOD,0,1,3,24,10,4,22,3,56
OAKWOOD CEMETERY,0,0,0,0,0,1,0,1,9
OLD TOWN MANCHESTER,0,0,2,26,8,16,41,9,151
OREGON HILL,0,0,4,18,6,5,23,5,127
OXFORD,0,2,1,8,18,5,33,1,54
PARNELL INDUSTRIAL AREA,0,0,0,3,3,2,13,4,12
PETER PAUL,0,1,6,22,10,9,19,4,72
PINE CAMP,0,0,0,3,0,0,1,0,6
PINEY KNOLLS,1,1,7,87,33,16,54,9,215
POCOSHOCK,0,0,1,5,5,4,4,0,17
POWHITE PARK,0,0,0,0,0,0,0,1,6
PROVIDENCE PARK,1,0,1,49,20,17,37,12,118
RANDOLPH,0,1,5,31,48,14,49,7,162
REEDY CREEK,0,1,4,21,4,11,28,5,82
ROSEDALE,0,0,1,5,3,1,20,1,49
SAUER'S GARDENS,0,0,0,17,6,4,26,9,71
SCOTT'S ADDITION,0,1,2,18,15,5,81,8,168
SHERWOOD PARK,0,1,0,2,3,1,10,3,26
SHOCKOE BOTTOM,2,3,17,77,7,46,105,15,471
SHOCKOE SLIP,0,1,4,55,1,16,54,5,249
